year,basin_total_m3s,ssa,outlet_ssa,drought,extreme_drought,extreme_wet,ssa_30yr_mean
1986,619903.3259016069,-0.08699679591410088,-0.1882475540961388,False,False,False,0.2582545016057955
1987,586902.7824982584,-0.34805494041430585,1.1831485974324591,False,False,False,0.2405647217828228
1988,639973.3093706802,0.07177127588845085,0.8674715818744113,False,False,False,0.20901025710428703
1989,503554.25998682244,-1.0074019810894357,-0.3608500680510433,True,True,False,0.1584488968931323
1990,719312.0025343316,0.699397668921491,1.0840563242343406,False,False,False,0.152534146716245
1991,581283.1745727666,-0.3925100998314282,0.35891155023456345,False,False,False,0.0650022241108291
1992,504045.2260995063,-1.0035180843661857,-1.4369389545618783,True,True,False,0.01790529888142702
1993,572151.4258605203,-0.4647488307433338,-0.25206502696786226,False,False,False,-0.01847758868792506
1994,687861.0490147999,0.4505979001353189,-0.7902093517920165,False,False,False,-0.02204734954420077
1995,668155.3792667611,0.29471181311910244,0.3268902499014008,False,False,False,0.032638446558175584
1996,699892.0760370012,0.5457720174963383,-0.15159473389125244,False,False,False,0.09911611031364191
1997,506104.0806262279,-0.9872310573323447,-1.1889423690197645,True,False,False,0.0507244327314064
1998,606370.0222394522,-0.19405500704166215,0.7323925992348058,False,False,False,0.058896261627503214
1999,719825.4232531373,0.7034591978048536,1.0507406071647636,False,False,False,0.06634638038394294
2000,586973.933775985,-0.3474920823936028,-0.38271179750139256,False,False,False,0.059443074202562354
2001,588765.5826447563,-0.3333188451968523,-0.5618166617392641,False,False,False,-0.015633078727906636
2002,487872.673353681,-1.131454662865934,-0.5807946084744717,True,True,False,-0.0050954872965801885
2003,717897.9324694411,0.6882113529017325,0.9664630482507452,False,False,False,-0.012139712381607016
2004,532434.5312828405,-0.778938166265223,0.055475393649306814,True,False,False,-0.028757255017586622
2005,476378.9134806351,-1.2223786088481028,-1.013263092913117,True,True,False,-0.11986407789685671
2006,475649.3992028882,-1.2281495939318117,-1.960231713467284,True,True,False,-0.15641529749105682
2007,444717.5863787865,-1.4728425846862692,-1.0517344873800467,True,True,False,-0.20192349538497242
2008,547842.1417470446,-0.6570528339600912,-0.7965709832520146,True,False,False,-0.27224178804169535
2009,376353.547043368,-2.013651535657436,-2.2199007155465185,True,True,False,-0.28013168573629543
2010,553258.1037569646,-0.6142086608896007,-0.2114836738436645,True,False,False,-0.3227041754998686
2011,743954.0328786641,0.8943339352666211,-0.1470724720066629,False,False,False,-0.2733105745871301
2012,615694.9472221612,-0.1202881122412994,-0.9091646047261126,False,False,False,-0.2724533622855288
2013,761640.5736470233,1.0342472530317637,-0.2654779125700758,False,False,True,-0.2572674599605374
2014,389081.66994533583,-1.9129628861662542,-1.9503879875898191,True,True,False,-0.3327784581875884
2015,418864.532711435,-1.677358920601458,-1.4644550091841133,True,True,False,-0.420403729195702
2016,669780.3153443866,0.3075662316712924,0.023870376827829286,False,False,False,-0.4072516282761889
2017,588481.2702590479,-0.33556796161182445,0.7436327384409741,False,False,False,-0.4068353956494395
2018,628938.1155442242,-0.015525081305546997,-0.7895977695725178,False,False,False,-0.4097452742225728
2019,867388.3604261829,1.8707886597641605,0.9007870913480098,False,False,True,-0.3138055861941196
2020,740126.4737745433,0.8640551769603182,1.475862620353101,False,False,False,-0.3083170025928253
2021,793681.4951830375,1.287714095138969,1.097290079060767,False,False,True,-0.2523095294271454
2022,422386.87540186,-1.64949464467675,-2.9556204890025177,True,True,False,-0.27384208143749755
