name,river_name,seg_id,latitude,longitude,dist_deg
Kundaliya Dam,Kali Sindh,3578.0,23.922024,76.305105,0.005322
Mohanapura Dam,Newaj,3584.0,23.960423,76.775284,0.003327
Siddhiganj Dam,,,22.834266,76.598616,
Hasdeo Bango Reservoir,,,22.661394,82.655336,
Hasdeo Bango Reservoir (north),,,22.877385,82.544826,
Dimna Dam,,,22.860452,86.246149,
Dimna Dam,,,22.858359,86.250735,
Umedganj Dam,,,25.113624,75.920523,
banjara dam,Kadwal,3330.0,25.66762,76.691127,0.001544
Chandmari Lake,,,22.759527,88.378049,
Mathura Bil,,,22.938734,88.485012,
Govind Ballabh Pant Sagar,Rihand,4622.0,24.100044,82.823903,0.008032
Remta Dam,,,23.174436,85.385139,
Kobang Reservoir,,,22.732862,84.448694,
Kobang Dam,,,22.724179,84.445045,
Mandira Dam,,,22.303347,84.610617,
Kumari Dam,,,23.157514,86.287995,
Kumari Reservoir,,,23.167434,86.286048,
Kangsabati Reservoir,,,22.97305,86.721732,
Kangsabati Kumari Dam,,,22.963931,86.788945,
Bada Taal,,,26.365287,77.22169,
Babu Singh Ki Pokher,,,26.367325,77.218745,
Ramrahe ka pagara (Kallu gurjar ka)-pucca kary,,,26.38415,77.219467,
Gothiya Ki Pokher,,,26.369562,77.215792,
Sanjhgir Ki Pokher,,,26.743046,77.290192,
Shiv Taal,,,26.743123,77.29174,
Rundh Wari Pokher,,,26.718054,77.31844,
Rahi Ki Pokher,,,26.688999,77.320596,
Peepri Wari Pokher -2,,,26.692998,77.315022,
Peepri Wari Pokher -1,,,26.69091,77.317647,
Mehendi Ka Taal,,,26.697893,77.296151,
Khirkari Ki Pokher,,,26.697146,77.277218,
Gundravali Ki Pokher,,,26.712473,77.28951,
Hanuman Sagar (Neeche),,,26.711687,77.29062,
Pitar Ka Tal,,,26.732784,77.271816,
Peer Ke Dehre Ki Pokher,,,26.715665,77.276362,
Kolhare Ki Pokher,,,26.700687,77.274343,
Farsan Ki Pokher,,,26.622458,77.267969,
Futi Pokher,,,26.621607,77.285296,
Sandan Ka Taal,,,26.601725,77.322711,
Kohra Wari Pokher,,,26.592429,77.308146,
Baindi Wari Pokher,,,26.600563,77.30324,
Baindi Ke Neeche Wari Pokher,,,26.599715,77.304337,
Daang Ka Taal,,,26.587535,77.300458,
Dhani Ki Pokher,,,26.582529,77.295201,
Bhagwan Singh ki pokher,,,26.580314,77.282386,
Kachre Vala Taal,,,26.580096,77.289307,
Dajanpur Ki Chowki Wari Pokher,,,26.568807,77.277862,
Dang ka Tal,,,26.574711,77.308929,
Badi Gher Ki Pokher,,,26.589387,77.308158,
Andh Bawri Ki Pokher,,,26.555951,77.226129,
Kanjari Ka Tal,,,26.574863,77.2616,
Tulsa Wari Pokher,,,26.550604,77.204074,
