name,state,address,local_river,river_name,seg_id,dist_deg,latitude,longitude,half_m,dam_length_m,capacity_m3,capacity_mcm,reservoir_area_m2,effective_storage_m3,osm_name
Khanpura Dam,Madhya Pradesh,"Local River, Chachaura, Madhya Pradesh",Local,,,,24.2322,77.0336,14.45,720.0,4270000.0,4.27,1064500,3850000.0,
Dinora Dam,Madhya Pradesh,"Nanga Nala River, Karera, Madhya Pradesh",Nanga Nala,,,,25.4558,78.32,12.19,3109.0,2050000.0,2.05,1982081,1314000.0,
Antalwasa Dam,Madhya Pradesh,"Local River, Khachrod, Madhya Pradesh",Local,,,,23.33,75.2269,11.89,1560.0,5830000.0,5.83,2160000,4943000.0,
Lokpal Sagar Dam,Madhya Pradesh,"Ranj River, Panna, Madhya Pradesh",Ranj,,,,24.7219,80.21,19.52,2100.0,6340000.0,6.34,1010205,6262000.0,
Kamera Dam,Madhya Pradesh,"Local River, Sabalgarh, Madhya Pradesh",Local,,,,26.2383,77.4369,12.0,1584.0,3370000.0,3.37,1420000,3070000.0,
Jumnera Dam,Madhya Pradesh,"Local River, Javera, Madhya Pradesh",Local,,,,23.7819,79.5789,11.76,1165.0,1312000.0,1.312,90275,1280000.0,
Adner Dam,Madhya Pradesh,"Sino River, Karera, Madhya Pradesh",Sino,,,,25.5456,78.0781,12.2,1280.0,7440000.0,7.44,1880000,7193000.0,
Nagdagajora Dam,Madhya Pradesh,"Nagda Nadi River, Pichor, Madhya Pradesh",Nagda Nadi,,,,25.1539,78.2103,10.98,210.0,3580000.0,3.58,3580000,3191000.0,
Gorkha Bandha Dam,Madhya Pradesh,"Local River, Katni, Madhya Pradesh",Local,,,,23.8553,80.1933,11.74,1280.0,1250000.0,1.25,105430,1052000.0,
Chiraipani Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.9114,79.6139,11.95,1575.0,2700000.0,2.7,460000,2517000.0,
Kheria Dam,Madhya Pradesh,"Local River, Gwalior, Madhya Pradesh",Local,,,,25.4731,78.2586,12.19,660.0,2945000.0,2.945,743900,2384000.0,
Pipreheta Dam,Madhya Pradesh,"Local River, Katni, Madhya Pradesh",Local,,,,23.6961,80.2372,11.9,109.72,2870000.0,2.87,1613000,2800000.0,
Jhaloni Dam,Madhya Pradesh,"Dhamvarsi Nala River, Pichor, Madhya Pradesh",Dhamvarsi Nala,,,,24.9572,78.1375,13.5,540.0,3864000.0,3.864,1730000,3793000.0,
Dhapora Dam,Madhya Pradesh,"Mahuar River, Pichhor, Madhya Pradesh",Mahuar,,,,25.0725,77.9639,12.5,1687.5,6234000.0,6.234,2030000,6154000.0,
Rajgarh Dam,Madhya Pradesh,"Local River, Shivpuri, Madhya Pradesh",Local,,,,25.3447,77.5992,10.37,640.0,2270000.0,2.27,640000,2260000.0,
Majhgawan Dam,Madhya Pradesh,"Local River, Hatta, Madhya Pradesh",Local,,,,23.8433,79.8281,14.88,1112.8,4050000.0,4.05,1022000,3846000.0,
Pillowa Dam,Madhya Pradesh,"Sank River, Morena, Madhya Pradesh",Sank,Sank,3362.0,0.002593,26.4514,78.1444,13.79,658.0,16930000.0,16.93,6712500,9645000.0,
Kotwal Dam,Madhya Pradesh,"Asan River, Morena, Madhya Pradesh",Asan,Asan,3366.0,0.000943,26.4886,78.1256,19.98,1158.0,91550000.0,91.55,18390000,90382000.0,
Khankuria Dam,Madhya Pradesh,"Local River, Chachawa, Madhya Pradesh",Local,,,,24.2753,76.9444,10.28,690.0,703000.0,0.703,220000,635000.0,
Jamakheri Dam,Madhya Pradesh,"Local River, Ashok Ngr., Madhya Pradesh",Local,,,,24.5889,77.7989,12.19,2790.0,4530000.0,4.53,1870000,4361000.0,
Keshopur Dam,Madhya Pradesh,"Local River, Mungawali, Madhya Pradesh",Local,,,,24.4822,77.9267,10.82,1432.0,2410000.0,2.41,107800,2369000.0,
Momanpura Dam,Madhya Pradesh,"Local River, Sonkach, Madhya Pradesh",Local,,,,22.9375,76.3925,11.0,1470.0,4230000.0,4.23,173000,4100000.0,
Bharoli Dam,Madhya Pradesh,"Local River, Ashok Ngr., Madhya Pradesh",Local,,,,24.8358,77.8075,12.19,1676.0,2070000.0,2.07,932000,1816000.0,
Mohari Dam,Madhya Pradesh,"Kenera Nadi River, Guna, Madhya Pradesh",Kenera Nadi,,,,24.6139,77.4089,12.2,1221.0,2670000.0,2.67,1094000,2363000.0,
Narola Dam,Madhya Pradesh,"Local River, Shajapur, Madhya Pradesh",Local,,,,23.4064,76.8108,10.02,2148.0,3240000.0,3.24,1354000,3087200.0,
Siloda Dam,Madhya Pradesh,"Jamdhar River, Shajapur, Madhya Pradesh",Jamdhar,,,,23.3056,76.7981,10.87,2225.0,4280000.0,4.28,2250000,3850000.0,
Govindgarh Dam,Madhya Pradesh,"Bihar Nadi River, Huzur, Madhya Pradesh",Bihar Nadi,,,,24.3797,81.2733,21.34,5230.0,11960000.0,11.96,3073000,9410000.0,
Harduamudar Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.7708,79.5456,12.75,585.0,1590000.0,1.59,498000,1457000.0,
