seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991,category,severity,pct_change,early_mean,late_mean,tau,p_value,sens_slope_m3s_yr,norm_slope_pct_yr,min_year,min_flow_m3s
1530,Padma,1,0,0.0,,,,0,0,Stable,Stable,-2.9904808790227597,50.25851544804924,48.755544153494625,0.0086071987480438,0.9186882634841276,0.0093048060515874,0.0188909683789152,2012,22.148099116666668
1548,Punarbhaba,99,0,0.0,,,,0,0,Stable,Stable,-6.718061374696455,57.37974613195075,53.52493957016129,-0.069640062597809,0.3895461398198647,-0.0635996202931109,-0.1151798723019373,2022,21.207924
1549,Punarbhaba,99,0,0.0,,,,0,0,Stable,Stable,-8.423253827721263,87.08914056950758,79.75340120295698,-0.1150234741784037,0.1543465124436378,-0.1605868567612948,-0.1929866784927206,2022,35.297493
1551,Padma,1,32,2481.03,Torai Dam,96.2,,24,4,Stable,Stable,-8.093116178530936,12799.646398352274,11763.756144892472,-0.1486697965571205,0.0654148135012158,-28.21889278846156,-0.2294105030348498,2014,6961.537958333333
1552,Padma,1,0,0.0,,,,0,0,Stable,Stable,-6.632793039726352,5.397827665344697,5.0398009276612905,-0.0446009389671361,0.5827852327137752,-0.0044140995033842,-0.0848646648424572,2022,2.349523
1553,Padma,1,32,2481.03,Torai Dam,121.8,,24,4,Stable,Stable,-8.093031747183172,12807.739893295457,11771.20543763441,-0.1486697965571205,0.0654148135012158,-28.04489497835499,-0.2278518724967065,2014,6967.190616666667
1560,Tangan,99,0,0.0,,,,0,0,Stable,Stable,-7.2006656781023235,13.233757986458333,12.280839317204302,-0.0516431924882629,0.5242399029172564,-0.0102322556060605,-0.0804878670845715,1994,4.722216566666667
1562,Punarbhaba,99,0,0.0,,,,0,0,Stable,Stable,-5.870253982369123,19.497075750643937,18.352547884946237,-0.0023474178403755,0.9806083394501892,-0.0014002541246499,-0.0074342893372736,2022,7.313533
2480,Kevai,99,1,3.08,Latar Dam,14.92,1976.0,1,0,Stable,Stable,14.580991710367933,21.367267045606063,24.482826482258066,0.1197183098591549,0.1380817350932224,0.0670812288958772,0.2926136765179793,1979,10.063292725
2481,Son,99,0,0.0,,,,0,0,Stable,Stable,-5.05205838917515,14.631629942272728,13.892431454301075,-0.0798122065727699,0.3237244365109479,-0.0161167505137949,-0.112776169716927,2015,8.446695216666667
2807,Mohana,99,1,12.34,Buksa Dam,4.8,1982.0,1,0,Stable,Stable,1.7284371472614035,11.615904817329543,11.816678431182796,-0.0156494522691705,0.8496314926030792,-0.004277494625506,-0.0366683571955257,2010,3.2421887166666665
2910,Padma,1,0,0.0,,,,0,0,Stable,Stable,-2.111613526195468,7.632378872518939,7.471212527876344,0.0250391236306729,0.7594077836691946,0.0057077600990675,0.0758509824619651,2012,1.3598442708333334
2912,Padma,1,0,0.0,,,,0,0,Stable,Stable,-4.860338895191385,19.344053311155303,18.403866764166665,-0.0039123630672926,0.965102707616436,-0.002510858530983,-0.0133256014229218,2012,3.4287417916666665
2913,Ichamati,99,0,0.0,,,,0,0,Stable,Stable,-3.07407370892239,20.82325188492424,20.183129773387098,0.0258215962441314,0.7520168837093886,0.0152779541447224,0.0746356605022085,2012,5.447207691666667
2914,Kalindi,99,0,0.0,,,,0,0,Stable,Stable,-2.0249956252596792,41.9970846382197,41.14664551155914,0.0211267605633802,0.796680051274133,0.0267388065619968,0.0645995865085477,2012,7.130886733333333
2915,Ichamati,99,0,0.0,,,,0,0,Stable,Stable,1.117953657391929,70.98950768579546,71.78313748333333,0.0649452269170579,0.4224917781104891,0.1180993625,0.1663039248202657,2012,25.438560750000004
2916,Ichamati,99,0,0.0,,,,0,0,Stable,Stable,3.934791170735077,9.13633091534091,9.495826457526883,0.1111111111111111,0.16890433439895,0.0223971325367646,0.2423788122751191,1958,3.013111783333333
2918,Ichamati,99,0,0.0,,,,0,0,Stable,Stable,0.2028946786474682,12.025613290719695,12.05001262016129,0.0297339593114241,0.7154148441443793,0.0115420406635802,0.0963579281652201,2012,3.452169083333333
2919,Mathabanga,99,0,0.0,,,,0,0,Stable,Stable,-2.482421614610195,49.46630910922349,48.23834675994623,0.0187793427230046,0.8192741807890083,0.016708087601626,0.0343671116167694,1972,22.20445666666667
2920,Padma,1,0,0.0,,,,0,0,Stable,Stable,0.9758456905649628,7.672715292234848,7.747589153763441,0.0555555555555555,0.4930689350662878,0.009411610813492,0.1228614876491165,1958,2.108182975
2921,Padma,1,0,0.0,,,,0,0,Stable,Stable,0.0861055740456833,92.34719571808712,92.42671180107529,0.0524256651017214,0.5179259057262735,0.1161464901041669,0.1265306397841885,1972,39.76964725
2922,Ichamati,99,0,0.0,,,,0,0,Stable,Stable,2.9341202225631107,29.502949228655304,30.36860122822581,0.0892018779342723,0.2698087511110099,0.0677624558712119,0.2278566995016803,1958,11.746961858333334
2928,Padma,1,0,0.0,,,,0,0,Stable,Stable,4.78252968333534,11.892116142651515,12.460860127150536,0.1040688575899843,0.1976657456561186,0.0308508014112903,0.255850377284302,1972,4.892732316666667
2929,Padma,1,0,0.0,,,,0,0,Stable,Stable,0.6112221398140996,110.54293784526514,111.21860075537634,0.0571205007824726,0.4808844025592613,0.1487050047313801,0.1350224321696019,1972,46.94511574999999
2930,Mathabanga,99,0,0.0,,,,0,0,Stable,Stable,-3.618827383835016,13.451688451117423,12.964895065860215,-0.0125195618153364,0.8802134306063019,-0.0033445967447917,-0.0254415682814801,1972,5.841205775
2931,Bhairab,99,0,0.0,,,,0,0,Stable,Stable,-4.492443606038267,17.539975856950758,16.752002333064517,-0.0117370892018779,0.8878887714688604,-0.0035515392818428,-0.020791865860675,1972,7.740773291666667
2933,Padma,1,0,0.0,,,,0,0,Stable,Stable,-0.8001664696186199,13.93596749909091,13.824456559946237,0.0359937402190923,0.6582189629917612,0.0125197979949874,0.0907177918609344,1958,4.685606383333334
2954,Gumani,99,2,278.89,Sunder Dam,18.92,1976.0,1,0,Stable,Stable,8.531364149790747,12.134168334848486,13.16937842204301,-0.0453834115805946,0.5761320910860721,-0.0179731755122438,-0.143971105632106,2018,4.169355524999999
2957,Gumani,99,2,278.89,Torai Dam,25.81,,1,0,Stable,Stable,20.009370592951907,31.281054402007577,37.54019650268817,0.0352112676056338,0.6652683394768646,0.0345212409013041,0.1021995820300528,1972,10.679482141666668
2959,Ganga,1,30,2202.14,Chandan Dam,106.31,1968.0,23,4,Stable,Stable,-8.251494214560324,12360.476447916666,11340.552448924733,-0.137715179968701,0.0879526610876704,-26.4347697185062,-0.22267936011658,2014,6643.542591666667
2960,Ganga,1,32,2481.03,Torai Dam,43.42,,24,4,Stable,Stable,-8.181800362486413,12400.252140435605,11385.688265860215,-0.136150234741784,0.0916316716494531,-26.22916774193549,-0.2201663749754268,2014,6685.967316666666
2971,Padma,1,0,0.0,,,,0,0,Stable,Stable,-4.890178882581242,374.0540550859848,355.7621426747312,-0.0649452269170579,0.4224917781104891,-0.4460326052083332,-0.1228121869594208,2022,158.36511
2973,Padma,1,32,2481.03,Torai Dam,62.08,,24,4,Stable,Stable,-8.187964617187875,12414.208037121212,11397.737075537634,-0.1384976525821596,0.086158341462019,-26.385611065227824,-0.2212360029059318,2014,6695.2622249999995
2977,Chandan,99,1,157.23,Chandan Dam,3.6,1968.0,1,0,Stable,Stable,3.927699455615989,11.328503807670456,11.773453390053763,-0.0086071987480438,0.9186882634841276,-0.0020608196043025,-0.0179973344348651,1965,4.155901358333334
2978,Barnar,99,1,80.21,Barnar Dam,14.26,2005.0,0,1,Stable,Stable,-2.2314351215378245,11.036607054810606,10.79033232876344,-0.0172143974960876,0.8344219897000891,-0.0049630829269254,-0.0457366162445457,1966,3.3216263500000003
3217,Koel,99,0,0.0,,,,0,0,Drying,Moderate Drying,-11.016476844562757,18.31996137030303,16.301747068010755,-0.1924882629107981,0.0169923916291623,-0.0735350727449223,-0.4249611127297645,1992,7.653408741666667
3244,Sota,99,1,16.36,Buchara Dam,23.34,1889.0,1,0,Stable,Stable,13.386397228708743,2.175606765484848,2.4668421292473117,0.0602503912363067,0.4570151459561868,0.0041940575304259,0.1827715868616479,2002,0.5703869733333333
3245,Sota,99,1,24.54,Chittoli Dam,6.66,1950.0,1,0,Stable,Stable,5.785062704550193,3.2743640283238635,3.4637880405376347,0.0125195618153364,0.8802134306063019,0.0016784133401863,0.0502328477046554,2002,0.7411553008333334
3246,Sota,99,1,24.54,Chittoli Dam,31.4,1950.0,1,0,Stable,Stable,1.0871296136328217,6.503260099626894,6.573958966021506,-0.0375586854460093,0.6442115023036941,-0.0074924311440678,-0.1151829225648437,2002,1.4678310333333335
3247,Chalak,99,0,0.0,,,,0,0,Stable,Stable,2.139006966016098,2.2869228738352274,2.3358403134139785,-0.041471048513302,0.6097495826361756,-0.0039424301686508,-0.1717908540983516,1987,0.5264514883333333
3248,Sota,99,2,40.9,Chittoli Dam,53.44,1950.0,2,0,Stable,Stable,4.473044014412992,10.265638170416668,10.724824684139785,-0.0133020344287949,0.8725493270758475,-0.0049844252532679,-0.0478065490207531,2002,2.4540743416666664
3260,Yamuna,99,0,0.0,,,,0,0,Drying,Severe Drying,-37.336940522858576,1.379726059206439,0.8645785611021506,-0.3028169014084507,0.0001714521556526,-0.0110553682725694,-0.9487890922734912,2007,0.19998005
3261,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,184.34,,1,1,Drying,Moderate Drying,-21.84221075021571,270.9625138130682,211.77831049193549,-0.2910798122065727,0.0003039540655975,-2.161406077807647,-0.889361848821463,1987,76.0401055
3262,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,203.01,,1,1,Drying,Moderate Drying,-22.005926773928135,273.93329000321967,213.65173079569897,-0.2887323943661972,0.000340010156226,-2.1854209072802195,-0.890041403087361,1987,76.57404708333333
3263,Yamuna,99,0,0.0,,,,0,0,Drying,Moderate Drying,-21.24921887761276,60.10017424816287,47.32935667634408,-0.2112676056338028,0.0087875073390921,-0.3996679356944445,-0.7312264077786598,2002,11.864100791666669
3264,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,225.3,,1,1,Drying,Moderate Drying,-22.23855471185186,339.9008870602273,264.31184232526886,-0.310641627543036,0.0001157443236667,-2.65272149550456,-0.8698880712597171,1987,91.06260758333332
3279,Yamuna,99,0,0.0,,,,0,0,Drying,Severe Drying,-43.61191772553246,2.5314602428598487,1.4274418844892474,-0.3043818466353677,0.0001586083806017,-0.0224532826774691,-1.0872831157552905,2007,0.3682193291666666
3281,Yamuna,99,0,0.0,,,,0,0,Drying,Severe Drying,-42.88608855112191,4.941058987642045,2.82203205483871,-0.2848200312989045,0.0004091250147599,-0.0427300111650641,-1.0559038451220228,2007,0.6975466016666667
3284,Bata,99,0,0.0,,,,0,0,Drying,Mild Drying,-9.865032882826249,6.838020969098485,6.1634479519623655,-0.1901408450704225,0.0183883073144981,-0.0437665238462216,-0.675571910866575,1974,1.4895136775
3285,Tons,99,0,0.0,,,,0,0,Drying,Moderate Drying,-16.996183864394254,21.616297678162876,17.942351980107528,-0.2527386541471048,0.0017155887229374,-0.1610158317150276,-0.8116263411296747,1987,5.728434808333334
3286,Giri,99,0,0.0,,,,0,0,Drying,Moderate Drying,-21.96435179113548,46.21882805630682,36.067162068279565,-0.2910798122065727,0.0003039540655975,-0.361244438047757,-0.8737080775457027,2022,10.085888
3287,Yamuna,99,3,602.62,Ichari Dam,23.34,1972.0,1,1,Drying,Moderate Drying,-25.005531772382877,168.12751181875,126.0863334327957,-0.3082942097026604,0.0001303473158864,-1.4021616558340724,-0.9451363093545204,2022,47.818874
3288,Yamuna,99,3,602.62,Ichari Dam,27.26,1972.0,1,1,Drying,Moderate Drying,-24.04011290557827,190.14189822339017,144.43157120967743,-0.3145539906103286,9.477964913395807e-05,-1.5755380260802472,-0.934530761549792,1987,53.73470699999999
3289,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,44.5,,1,1,Drying,Moderate Drying,-22.94044354844645,203.06038359886364,156.47743093010752,-0.310641627543036,0.0001157443236667,-1.635041875964507,-0.903277755847262,1987,57.95085783333334
3290,Yamuna,99,0,0.0,,,,0,0,Drying,Mild Drying,-2.7406436867189843,12.185368290189391,11.85141076344086,-0.1643192488262911,0.0416638200835364,-0.0630087438683711,-0.5281950560281259,1982,3.2376629416666667
3291,Yamuna,99,0,0.0,,,,0,0,Stable,Stable,-6.1646414072700475,12.278750542954544,11.521809602688172,-0.1541471048513302,0.0560727120207502,-0.0652551625261643,-0.5505698515983906,1981,2.514249216666667
3292,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,64.53,,1,1,Drying,Moderate Drying,-21.79515257893981,215.61096836553028,168.61822883333332,-0.3059467918622848,0.0001466741095625,-1.6731911443376066,-0.8657239067628911,1987,61.9344605
3293,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,99.49,,1,1,Drying,Moderate Drying,-20.818379906745296,237.6427649102273,188.16939129032255,-0.2895148669796557,0.0003275689414186,-1.813244931964574,-0.8470045498705772,1987,68.38836041666667
3295,Yamuna,99,0,0.0,,,,0,0,Drying,Moderate Drying,-24.389618858470023,8.419366104469697,6.365914801290323,-0.2934272300469484,0.0002715030076816,-0.0773747691467304,-1.0385385987172702,1987,1.6437312225000005
3296,Yamuna,99,0,0.0,,,,0,0,Stable,Stable,-11.540124525344348,6.238821628255682,5.51885384344086,-0.1267605633802817,0.1163725878670813,-0.0295439770129504,-0.5007642805161537,1982,0.8658665308333333
3297,Yamuna,99,0,0.0,,,,0,0,Drying,Moderate Drying,-23.453765860808502,15.001693895208334,11.483231733870968,-0.2754303599374021,0.0006320914766573,-0.1318952725992064,-0.9872591633036162,1987,3.160533975
3298,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,135.45,,1,1,Drying,Moderate Drying,-21.015381591796153,254.02123702405305,200.6377047392473,-0.2863849765258216,0.0003800377024256,-1.9759544404633615,-0.8642325874607164,1987,71.89428516666666
3300,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,148.31,,1,1,Drying,Moderate Drying,-20.94943043695473,261.6997986340909,206.8751813655914,-0.2809076682316119,0.0004911922251926,-2.0477257480971893,-0.868944131564474,1987,73.85829566666666
3301,Hindon,99,0,0.0,,,,0,0,Drying,Moderate Drying,-28.90865017010369,8.087718936443181,5.749668562365591,-0.1948356807511737,0.0156903461366171,-0.0509544429012345,-0.7222823059519016,1982,1.0158606666666663
3302,Hindon,99,0,0.0,,,,0,0,Stable,Stable,-9.034954840048648,21.386404090757576,19.454152139247313,-0.1431924882629108,0.0760044175506724,-0.0946625211640211,-0.4640194147945196,1982,4.679176808333334
3303,Yamuna,99,0,0.0,,,,0,0,Drying,Severe Drying,-51.08774577923643,2.03646773077841,0.9960822736021506,-0.3888888888888889,1.3845329056572098e-06,-0.0227320762581699,-1.4390833019226354,2017,0.2574867108333333
3304,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,164.97,,1,1,Drying,Moderate Drying,-21.337289643174127,265.27298995681815,208.67092374462365,-0.284037558685446,0.0004244363613015,-2.0902923621794836,-0.8766043801832207,1987,74.70548108333334
3305,Yamuna,99,0,0.0,,,,0,0,Drying,Severe Drying,-49.8488436129812,1.5476964796022727,0.7761876818817204,-0.4217527386541471,1.6448260775625556e-07,-0.0188857179248366,-1.5569546393944471,2017,0.1832225783333333
3308,Rupin,99,0,0.0,,,,0,0,Stable,Stable,-16.173766010705286,3.750720368511364,3.144087632392473,0.0250391236306729,0.7594077836691946,0.0034680633564815,0.0997177720730455,2009,0.2802331833333333
3309,Tons,99,0,0.0,,,,0,0,Stable,Stable,23.278222255709657,7.19189712553788,8.866042922822581,0.1275430359937402,0.1141285546765966,0.0391794476466049,0.4936504549507685,2009,0.8289407291666667
3310,Pabbar,99,0,0.0,,,,0,0,Drying,Severe Drying,-33.09937511857838,15.105631314071973,10.105761741397847,-0.1877934272300469,0.0198835881588574,-0.0858811422922775,-0.6700663465814304,2004,1.8154302108333331
3311,Tons,99,0,0.0,,,,0,0,Stable,Stable,-6.538394964944805,17.449764812727274,16.308830268817204,-0.0140845070422535,0.864897167788448,-0.009656712112403,-0.057111111529364,2009,1.579447325
3312,Tons,99,0,0.0,,,,0,0,Stable,Stable,-22.9067530781164,38.06994002662879,29.349352867741935,-0.1353677621283255,0.0935170157483709,-0.1654885477150538,-0.4857828802848373,2009,4.651191133333334
3316,Shallu,99,0,0.0,,,,0,0,Drying,Severe Drying,-36.83231552668161,8.487319888176136,5.361243447204301,-0.3732394366197183,3.608079779171547e-06,-0.0948425011453488,-1.3466092547930184,2022,1.4089956
3317,Tons,99,0,0.0,,,,0,0,Drying,Moderate Drying,-25.729095573425298,47.48099100520834,35.264561450268815,-0.1823161189358372,0.0237914828636334,-0.2828826005819059,-0.675727619292063,2009,8.186685291666667
3318,Sainj,99,0,0.0,,,,0,0,Drying,Severe Drying,-31.390611724738033,6.302054350700757,4.323800938790322,-0.3583724569640062,8.665695803600215e-06,-0.0680062715044967,-1.264968210899979,2022,0.96099275
3319,Tons,99,1,8.93,Ichari Dam,2.73,1972.0,1,0,Drying,Moderate Drying,-26.86886693072359,66.04733716361741,48.301166029838704,-0.2652582159624413,0.0009980910481652,-0.4986564622499999,-0.8622890029746999,2009,13.812208708333335
3320,Yamuna,99,2,593.69,Lakhwar (Ujvn) Dam,0.82,2024.0,0,1,Drying,Moderate Drying,-26.164543975170723,51.327278590776515,37.89773021263441,-0.3348982785602504,3.233493130805343e-05,-0.4861838062260537,-1.0804938795841683,2009,6.9359231333333335
3321,Aglad,99,0,0.0,,,,0,0,Drying,Moderate Drying,-22.842179289145054,7.630021842960227,5.887158573790322,-0.2918622848200313,0.0002927536719805,-0.0661137805400697,-0.972952767222802,1987,1.2339051108333334
3322,Yamuna,99,0,0.0,,,,0,0,Drying,Moderate Drying,-25.251444857674898,36.40084258861742,27.209103894623656,-0.3200312989045383,7.137987113781108e-05,-0.3329846706281566,-1.0385839902527376,2009,3.6788289666666665
3323,Bhagirathi,99,1,0.6,Maneri Stage I Dam,4.23,1984.0,1,0,Stable,Stable,-2.8681055683161394,75.47107114782196,73.30648115376344,-0.0391236306729264,0.6303292623489334,-0.0866396741976352,-0.1167495618024938,2009,9.1300964
3324,Yamuna,99,3,602.62,Vyasi (Ujvn) Dam,14.2,,1,1,Drying,Moderate Drying,-26.297094955372614,121.1948387849432,89.32411694865591,-0.3176838810641627,8.064627420267811e-05,-1.0189123117035042,-0.9584375073090672,2009,22.1809145
3325,Ashmi,99,0,0.0,,,,0,0,Drying,Moderate Drying,-15.446290063564112,3.772464066598485,3.189758324327957,-0.1971830985915492,0.0144768911150616,-0.0216925604367689,-0.6220320584992315,1972,0.9994001766666668
3326,Giri,99,0,0.0,,,,0,0,Drying,Moderate Drying,-25.81666740350541,16.039070559583333,11.898317058602151,-0.2863849765258216,0.0003800377024256,-0.1309658838643792,-0.930263063737822,2022,3.232049
3328,Sarai,99,0,0.0,,,,0,0,Stable,Stable,23.365112610751975,2.943961224710227,3.6318210800806447,0.056338028169014,0.4869560812360789,0.0076234827039141,0.2370466532396372,2015,0.6773803666666667
3329,Chambal,99,0,0.0,,,,0,0,Stable,Stable,10.640488684469208,3.254378981755682,3.6006608090591397,0.0133020344287949,0.8725493270758475,0.0016863531229982,0.0499256242835665,2015,0.7389918733333333
3330,Kadwal,99,2,55.7,Aoda Dam,22.84,1934.0,1,0,Stable,Stable,20.8880768870532,10.322515594848486,12.478690588978496,0.054773082942097,0.4992226615640707,0.0209709729166667,0.1878025185445942,2017,2.658133558333333
3331,Chambal,99,2,55.7,Aoda Dam,41.91,1934.0,1,0,Stable,Stable,21.33862380991351,13.390347311666668,16.247663151344085,0.0579029733959311,0.4748541917264841,0.0313058692760942,0.2157322078332379,2017,3.4115650416666665
3332,Banas,99,72,2740.48,Kalisil Dam,25.4,1956.0,53,9,Stable,Stable,2.118537283711821,215.0274493581439,219.58288604301077,-0.0211267605633802,0.796680051274133,-0.1562849501050418,-0.0724150741019305,2002,42.71260591666667
3333,Chambal,99,152,10195.82,Man Sarowar Dam,21.1,1957.0,96,45,Stable,Stable,4.129535852174566,808.417581107197,841.801474954301,-0.0234741784037558,0.7742550657745815,-0.865949776388888,-0.106034351625299,1951,236.26304545454548
3334,Chambal,99,154,10251.52,Man Sarowar Dam,30.23,1957.0,97,45,Stable,Stable,4.409887010312255,821.8092387645833,858.0500976344086,-0.0179968701095461,0.826840031012408,-0.819254871031748,-0.0985650591244469,1951,239.88977999999997
3335,Chambal,99,226,12992.0,Man Sarowar Dam,34.27,1957.0,150,54,Stable,Stable,3.954381002902755,1039.2422681628789,1080.3378669892477,-0.0258215962441314,0.7520168837093886,-0.7582684564345434,-0.0722490860703651,2002,322.530075
3336,Chambal,99,226,12992.0,Kalisil Dam,25.99,1956.0,150,54,Stable,Stable,3.841544618288121,1050.0710113598484,1090.4099577849463,-0.0219092331768388,0.7891853811696212,-0.8604837360646616,-0.0811820228874055,2002,325.664105
3337,Kuno,99,2,21.6,Harsi Dam,7.8,1917.0,2,0,Stable,Stable,-0.7769442826784413,44.44594091564394,44.1006207188172,-0.041471048513302,0.6097495826361756,-0.0721046258614418,-0.1641359377545344,2002,10.885390208333334
3338,Karisil,99,1,41.7,Kalisil Dam,6.81,1956.0,1,0,Stable,Stable,-17.78763476359367,4.554129063806818,3.7440572192741937,-0.1259780907668231,0.1186511412291453,-0.0226463183928571,-0.5436317261436823,2002,0.6557689125
3339,Chambal,99,229,13023.39,Needar Dam,106.31,1990.0,153,54,Stable,Stable,2.697687700958066,1121.4680526079546,1151.7217583333334,-0.0320813771517996,0.6937574902034176,-1.1739764043209844,-0.1042097499413771,2002,344.45194583333335
3340,Parbati,99,6,93.92,Rampur Dam,6.33,1958.0,4,2,Stable,Stable,-2.639310444318196,4.931994050899621,4.801823416801075,-0.0610328638497652,0.4511535370128277,-0.0121690224873737,-0.2517867361778512,1979,0.9691589008333332
3341,Karai,99,0,0.0,,,,0,0,Stable,Stable,6.123009293535153,5.554153747979166,5.8942350981451614,0.0289514866979655,0.7226862070785358,0.0048899526177156,0.0864736256770848,2007,1.1520838375
3342,Kuno,99,0,0.0,,,,0,0,Stable,Stable,3.5127670936634137,10.142260137632576,10.498534114301076,0.0023474178403755,0.9806083394501892,0.0013439832839262,0.0131634226584263,2002,2.1814870166666664
3343,Kuno,99,0,0.0,,,,0,0,Stable,Stable,5.193710340212292,18.62267025064394,19.58987780107527,0.0070422535211267,0.9341368400799536,0.0079551513495808,0.0421285972168287,2002,4.073038483333334
3344,Sindh,99,2,3.61,Mohari Dam,11.37,1916.0,2,0,Stable,Stable,-1.1279009522785637,29.56338465810606,29.229938961021507,-0.0532081377151799,0.5116514737677185,-0.050607858522263,-0.1734051951547907,1979,6.026048408333334
3345,Sindh,99,3,5.68,Bharoli Dam,30.36,1916.0,3,0,Stable,Stable,-1.0012033883034717,39.461258457007574,39.066171000268824,-0.0446009389671361,0.5827852327137752,-0.0567156261936936,-0.1455180860734873,1979,8.348344016666667
3346,Kendar,99,0,0.0,,,,0,0,Stable,Stable,-1.4491951456011465,3.2444137974166667,3.1973959101612905,-0.0375586854460093,0.6442115023036941,-0.0043998823473869,-0.1375873386871837,2002,0.7006421975
3347,Manki,99,1,2.33,Kuda Dam,11.58,1982.0,1,0,Stable,Stable,-8.535380785770567,4.565872246371212,4.176157663951613,-0.0954616588419405,0.2374903017794887,-0.0155738116454736,-0.3570134149353124,2002,1.031098903333333
3348,Kuno,99,1,2.33,Kuda Dam,19.13,1982.0,1,0,Stable,Stable,-5.240953104729042,9.044432112089016,8.570417666505376,-0.069640062597809,0.3895461398198647,-0.0233673411574074,-0.2664982823359326,2002,2.0108095833333333
3349,Kunwari,99,2,7.19,Kamera Dam,8.46,1910.0,2,0,Drying,Severe Drying,-32.95484858213673,15.472361683390153,10.373468318548388,-0.2394366197183098,0.0029758464158153,-0.1215842967697335,-0.9248388317720356,2007,2.3170151249999997
3350,Kunwari,99,0,0.0,,,,0,0,Drying,Severe Drying,-32.01983072167117,1.815637145022727,1.234273204666667,-0.2934272300469484,0.0002715030076816,-0.0166458514476799,-1.0669902875818318,2007,0.1734928083333333
3351,Bamni,99,0,0.0,,,,0,0,Drying,Moderate Drying,-25.691147356966233,1.8087047137443184,1.344027720483871,-0.2300469483568075,0.0043233446411865,-0.0134346108333333,-0.8390675237418235,1980,0.3318888325
3352,Parbati,99,0,0.0,,,,0,0,Drying,Moderate Drying,-28.917547815333982,1.6715927343295456,1.1882091061021505,-0.1830985915492957,0.0231953061378926,-0.0105093502556818,-0.7205277248802783,2007,0.2953819991666667
3353,Vaisali,99,0,0.0,,,,0,0,Drying,Moderate Drying,-26.41344050999912,2.2737397156912875,1.673166828534946,-0.2683881064162754,0.0008686025351922,-0.0207942089848484,-1.0358273783220886,2007,0.1899657308333333
3354,Sengur,99,0,0.0,,,,0,0,Drying,Severe Drying,-52.65912885105914,2.476587319185606,1.1724380116666666,-0.4859154929577465,1.6113519407667811e-09,-0.031532915136916,-1.6692950933392885,2016,0.1661288983333333
