river_name,n_segments,max_upstream_dams,mean_upstream_dams,max_capacity_mcm,n_drying,n_stable,n_wetting,mean_pct_change,median_pct_change,mean_tau,pct_drying
Kalindi,1,0,0.0,0.0,0,1,0,-2.0249956252596792,-2.0249956252596792,0.0211267605633802,0.0
Kalindri,1,0,0.0,0.0,0,1,0,-3.413387031989538,-3.413387031989538,-0.0524256651017214,0.0
Kamala,12,0,0.0,0.0,0,12,0,-7.331659011921914,-7.451176359994105,0.011541471048513307,0.0
Kanh,1,0,0.0,0.0,0,1,0,-6.056474355583711,-6.056474355583711,-0.0641627543035993,0.0
Kanhar,7,12,3.0,950.1,3,4,0,-5.655399374755513,-7.847714963465201,-0.11345852895148667,42.9
Kankai,5,0,0.0,0.0,1,4,0,-7.635874641923506,-8.417096167760429,-0.10140845070422533,20.0
Kanthali,1,0,0.0,0.0,0,1,0,16.198039977791804,16.198039977791804,0.0610328638497652,0.0
Karai,1,0,0.0,0.0,0,1,0,6.123009293535153,6.123009293535153,0.0289514866979655,0.0
Kareli,5,1,0.6,12.93,0,5,0,-16.642579190421465,-17.540933045354546,-0.11830985915492956,0.0
Karisil,1,1,1.0,41.7,0,1,0,-17.78763476359367,-17.78763476359367,-0.1259780907668231,0.0
Karmanasa,11,4,2.0,489.53,0,11,0,-10.87334581529337,-11.32662389532623,-0.05875657988334044,0.0
Karwan,8,0,0.0,0.0,8,0,0,-44.77356840215751,-44.37516403793821,-0.384585289514867,100.0
Kathan,3,5,3.0,15.14,3,0,0,-14.459452039243956,-14.712147628496568,-0.17918622848200305,100.0
Katna,1,0,0.0,0.0,1,0,0,-26.46463419946122,-26.46463419946122,-0.230829420970266,100.0
Katni,4,14,9.0,67.32,1,3,0,-8.91982197617881,-9.836773366705753,-0.13047730829420967,25.0
Ken,15,71,43.06666666666667,675.75,5,10,0,-7.9106922110949345,-8.67417366963014,-0.13766301512780382,33.3
Kendar,1,0,0.0,0.0,0,1,0,-1.4491951456011465,-1.4491951456011465,-0.0375586854460093,0.0
Keshaliya,3,0,0.0,0.0,0,3,0,-0.48525619442112405,-0.4931922264177043,0.10798122065727693,0.0
Kethan,1,5,5.0,57.11,0,1,0,0.8704202594064512,0.8704202594064512,-0.0735524256651017,0.0
Kevai,1,1,1.0,3.08,0,1,0,14.580991710367933,14.580991710367933,0.1197183098591549,0.0
