seg_id,mean_ssa_1991_2021,river_name,tier,updated_tier,long_term_mean
4118,-0.33488639970385814,Sengur,4,4,1.1615634708802818
1497,-0.3346711345388743,Padma,1,1,27257.541894131453
1445,-0.3345850672955086,Padma,1,1,27195.311758215965
4772,-0.3340704514262733,Babai,4,4,74.24779664612676
3535,-0.3339486920896501,Yamuna,1,1,368.60150542136154
1527,-0.333793860965838,Padma,1,1,27146.66145011737
3946,-0.3337688451940664,Gomti,2,2,8.573238417265259
3376,-0.3326712365778415,Kunwari,4,4,20.596019183333333
3872,-0.33135003559031745,Kosi,2,2,56.22302187910798
4416,-0.33082774185873454,Rapti,2,2,466.6401345129108
3264,-0.3303656192123641,Yamuna,1,1,306.8312842464789
4459,-0.3296391588783583,Rapti,2,2,276.8662540140845
3547,-0.3291324201412593,Kali,3,3,10.891063062558684
3907,-0.3286935545617586,Rihand,3,3,6.0446694640023475
3320,-0.3280712139289096,Yamuna,1,1,45.429160624647885
3319,-0.3279996206943915,Tons,2,2,58.28451773004695
3845,-0.3272093319932537,Katna,5,5,13.798644749061033
3530,-0.32691238834809627,Khari,3,3,15.954312822887324
4451,-0.3262472979911186,Rapti,2,2,436.37230006103283
3950,-0.32562126910175976,Tamasa,3,3,13.196175838497652
3835,-0.3240437985162157,Ramganga,2,2,329.8221793039906
4007,-0.3237277205790681,Sai,3,3,2.8332781097535213
3289,-0.32336132902509074,Yamuna,1,1,182.625141092723
3888,-0.3232840671107127,Ramganga,2,2,32.075669613732394
3476,-0.32267155851149976,Non,4,4,3.181979663169014
5153,-0.322188682514732,Phalgu,3,3,14.455470212323943
4407,-0.321429165629759,Ganga,1,1,7022.147011502348
3551,-0.32135308585495814,Hindon,3,3,1.641614083157277
4405,-0.32124137869390923,Ghaghara,1,1,7010.836854342723
3904,-0.3203534578513035,Rihand,3,3,2.954794269507042
4114,-0.3185279469169719,Shyam,4,4,2.421372212723005
4644,-0.317797420724524,Bhada,5,5,66.15819846525822
3475,-0.3167012002250288,Non,4,4,2.3171199135211267
3459,-0.31666436721214397,Pahuj,4,4,13.236171317723006
4138,-0.3165420987601895,Dhasan,3,3,2.269470649565728
4041,-0.316006524880972,Varuna,4,4,5.205285282417841
4462,-0.3159995429413788,Ghaghara,1,1,86.2018727834507
3262,-0.3155939541942612,Yamuna,1,1,247.5150270023474
3349,-0.31429610055549273,Kunwari,4,4,13.247409888497652
4659,-0.31394976335914593,Ghaghara,1,1,313.08238200469486
3357,-0.3129969620970766,Kunwari,4,4,3.473478877652582
3261,-0.3124770914574414,Yamuna,1,1,245.0203766431925
3452,-0.3121396925201076,Non,4,4,9.094554439788732
3792,-0.3118937329753201,Garra,4,4,6.599826946115024
1525,-0.31038375402551016,Padma,1,1,14739.192419953051
4043,-0.31033898047096675,Ganga,1,1,1189.8935582629108
3935,-0.31015954955468117,Ganga,1,1,4.0394679031338026
4042,-0.3097764762539649,Ganga,1,1,1185.3689886150235
3866,-0.3096939341920544,Ramganga,2,2,305.88500225
4019,-0.309056443472106,Gomti,2,2,115.38702075234741
3388,-0.30870547862629294,Sindh,3,3,189.30881464436618
3936,-0.30843345030844155,Ganga,1,1,16.769727086384975
3984,-0.30835889514956233,Ganga,1,1,1175.6519141431925
4449,-0.3080521160037194,Rapti,2,2,368.4176045575117
3292,-0.30783172262026876,Yamuna,1,1,194.9918380140845
4400,-0.3073452927144114,Ganga,1,1,7.989350714906104
5144,-0.30643340895968035,Paimar,5,5,3.337388905246479
4742,-0.30626762388389184,Jamwar,5,5,7.871008048215963
3834,-0.30583034543108994,Ramganga,2,2,302.9954153438967
4445,-0.30576247579857285,Rohini,3,3,56.19800101326291
4813,-0.3057458136984681,Mahakali,2,2,0.7454358924964788
3358,-0.3043443660216982,Parbati,3,3,2.8093668712676054
3304,-0.3041746408434445,Yamuna,1,1,240.4550102359155
3477,-0.3033488525323479,Non,4,4,5.698362189471831
3543,-0.3032227863569111,Kali,3,3,3.2473635565258214
3858,-0.3030218351220841,Kosi,2,2,47.41147224178404
3863,-0.30252150882119877,Ramganga,2,2,289.576718399061
5159,-0.30124626157148526,Panchane,4,4,4.957933060328638
5154,-0.29898934839114566,Phalgu,3,3,21.174564573122066
3298,-0.29851749166803143,Yamuna,1,1,230.6052507370892
3827,-0.2981167726991278,Ganga,1,1,1154.28955064554
3300,-0.29800446802974834,Yamuna,1,1,237.6567388450704
3322,-0.29700918515958213,Yamuna,1,1,32.36593197159624
3286,-0.29609796580863074,Giri,4,4,41.75853889401409
3359,-0.29534280122589246,Gambhir,4,4,2.5327639393427233
4164,-0.2948612202791599,Sajnam,5,5,12.4503927875
