seg_id,early_q90,late_q90,early_q50,late_q50,q90_abs_change,q90_pct_change,q50_pct_change,river_name,tier,updated_tier,long_term_mean
4374,0.7730513960000001,0.73659585,1.3947229,1.54277695,-0.036455546000000005,-4.715798482304274,10.615302150699598,Son,2,2,4.951199801971831
3794,15.194888800000001,14.486226700000001,29.943047,27.567112,-0.7086620999999997,-4.66381892837544,-7.9348471115848636,Deoha,4,4,78.47645806760563
4303,0.616389888,0.58773734,1.0939034,1.0694755,-0.028652548000000055,-4.64844549818443,-2.2330948052634314,Sonar,3,3,4.483229234800469
3455,23.4014712,22.3200679,41.37139,38.795225,-1.081403299999998,-4.62109108764067,-6.226923968471923,Sindh,3,3,121.60237837793429
3916,3.12401096,2.97984838,6.641464,5.870163,-0.14416258000000015,-4.614663067635337,-11.61341836679383,Song,4,4,23.71971186584507
4490,48.192127,45.970668200000006,101.08537,113.61234999999999,-2.2214587999999935,-4.609588615999442,12.392475785566196,Gandak,2,2,329.7532961584507
5138,6.39949754,6.10817048,12.245229,11.838474,-0.2913270599999995,-4.552342714081261,-3.321742696686199,Kiul,3,3,25.861138388497654
4916,13.2555358,12.657247199999999,26.543787,24.8625915,-0.5982886000000018,-4.5134999371357125,-6.333668590695058,Bagmati,2,2,92.57366429061034
4556,5.340051,5.1007737099999995,10.278648,9.590568999999999,-0.23927729000000042,-4.480805333132594,-6.694255898246558,Lilajan,4,4,21.816349767018778
4060,0.751055036,0.7174731480000001,1.347099,1.4925358499999999,-0.03358188799999995,-4.471295230087499,10.79630004921686,Belan,3,3,4.09249946859155
4888,2.30644296,2.2033736000000004,4.900404,4.41926685,-0.10306935999999967,-4.46875824754841,-9.818316000068574,Kosi,2,2,11.123728404342724
4855,2.85930728,2.7326953300000003,6.9565864,6.26806995,-0.12661194999999958,-4.428063779140225,-9.897331973049308,Kankai,4,4,18.7342214971831
4620,0.569625508,0.54459444,1.0241846,1.1415225000000002,-0.02503106799999999,-4.394302510764668,11.45671395566779,Mayar,5,5,3.036515853685446
3342,1.62669988,1.55524869,2.8069022,2.7893739999999996,-0.07145119000000011,-4.392401504326668,-0.6244677851618966,Kuno,4,4,10.298120720915493
3769,0.7095006,0.6784171160000001,1.2684603,1.24028875,-0.03108348399999994,-4.381037028016599,-2.2209248488108106,Banganga,4,4,4.052384351525822
3245,0.93070458,0.8899873699999999,2.0031137,2.05017,-0.04071721000000006,-4.374880157998154,2.3491577138132467,Sota,4,4,3.3575849691666666
4167,3.1052495600000003,2.97028954,5.380467,5.17998195,-0.1349600200000003,-4.3461891674819295,-3.726164476057564,Narain,5,5,21.01359794812207
4053,0.822520448,0.786869204,1.4596084,1.607409,-0.03565124399999997,-4.3343899943992605,10.126044766527793,Belan,3,3,4.401862761995305
4431,95.45090400000001,91.31763690000001,195.98485,217.7752,-4.133267099999998,-4.330254535881606,11.118384915976934,Gandak,2,2,697.3861592488263
3862,0.93390728,0.893540455,1.8684994,1.7084744,-0.040366824999999995,-4.322358960516937,-8.564359185772275,Ramganga,2,2,4.233813783802817
4733,1.76041654,1.68457141,3.6193573,3.4273057,-0.07584513000000004,-4.308362724199355,-5.306234894244901,Banganga,4,4,10.856698848356807
3343,2.91102622,2.7860870699999998,5.0335574,4.9247125,-0.12493915000000033,-4.291928019803281,-2.1623851950113897,Kuno,4,4,19.044579765845068
4271,28.84699,27.6123882,52.609325,49.3343905,-1.2346018,-4.279828848694439,-6.2250076388549,Sonar,3,3,204.55850189788734
3473,2.74338368,2.6261816,5.0023584,4.683073950000001,-0.11720208000000021,-4.272172385307774,-6.382678418243675,Mahuar,4,4,13.541532497769952
4835,2700.12786,2584.8952,4923.616,4979.290650000001,-115.23266000000012,-4.267674198213714,1.1307675090827725,Ganga,1,1,11353.386415023475
5169,1.02521734,0.98174779,1.9456455,1.92692795,-0.04346954999999997,-4.240032654929536,-0.9620226295077835,Garhi,5,5,4.6339626638380285
4863,2674.72088,2564.34562,4885.9863,4953.1982,-110.3752599999998,-4.1266085304571964,1.375605576298899,Ganga,1,1,11288.112461971832
4910,7.07675868,6.785765349999999,13.869853,13.569074,-0.29099333000000094,-4.111957792518664,-2.1685810224520785,Bagmati,2,2,56.80561226960094
3332,43.560448,41.773018,83.99947,82.4920425,-1.7874300000000005,-4.103332454248405,-1.794567870487761,Banas,3,3,217.0680951302817
4069,0.7114669920000001,0.68232965,1.3404976,1.44088145,-0.029137342000000066,-4.0953891505342055,7.488551266335729,Asrawal,5,5,4.05433310362676
3454,20.1125638,19.2931465,35.41434,33.419037,-0.8194173000000013,-4.074156373838333,-5.634166837501418,Sindh,3,3,109.48894129107981
2913,4.62150816,4.43404654,9.741824,9.518093,-0.18746162000000055,-4.056286681964888,-2.296602771719126,Ichamati,4,4,20.5486154814554
5179,1.1288081200000002,1.08366358,2.2853215,2.2969771000000003,-0.04514454000000012,-3.999310352232416,0.5100201437741054,Gandak,2,2,9.7308103925
3486,0.597294008,0.573521167,1.0430291,1.0266795,-0.02377284099999999,-3.980090320946262,-1.5675113954155329,Indar,5,5,3.6277019907981223
4900,6.48331858,6.225526670000001,13.500291,12.338883500000001,-0.257791909999999,-3.976233881136827,-8.602833079672129,Kosi,2,2,30.544672680399064
4834,2677.3302,2571.05307,4899.728,4959.49585,-106.27712999999994,-3.969518963331454,1.2198197532597765,Ganga,1,1,11304.784295774649
4143,1.92456208,1.84839631,3.3054173,3.3145546,-0.07616577000000002,-3.957563686384178,0.2764340829220065,Dhasan,3,3,13.833526857629108
4836,2700.00896,2593.61492,4949.243,4969.4212,-106.39404000000013,-3.940506923354807,0.4077027537342454,Ganga,1,1,11372.114455633804
3460,3.4510264200000003,3.31563435,6.39091,5.9380422500000005,-0.13539207000000042,-3.923240610832542,-7.086123102969677,Mahuar,4,4,16.96638480399061
5172,1.45879058,1.4019778900000002,2.7631962,2.65659725,-0.05681268999999989,-3.8945062285773666,-3.8578132815903547,Lilajan,4,4,6.432846996478874
4070,2.2136226,2.127639,4.117984,4.5449470000000005,-0.08598360000000005,-3.8842935557307756,10.368253009239488,Satna,4,4,12.542016350352114
3301,1.6599728200000001,1.59556293,3.6954372,3.0603838999999997,-0.06440989000000008,-3.880177387482771,-17.184794805875754,Hindon,3,3,7.0702225384037565
3869,5.5852089,5.37243119,10.827518,10.018205,-0.21277770999999923,-3.809664308169373,-7.474593900467305,Gangan,4,4,24.334819227816904
4434,103.01590900000001,99.0941645,212.42085,226.547915,-3.9217445000000026,-3.806930927532758,6.650507706752886,Gandak,2,2,729.1502404248826
4438,111.295976,107.06050450000001,223.71088,238.81955,-4.2354714999999885,-3.805592665812094,6.753659008448758,Gandak,2,2,759.6068507523473
3748,0.881561568,0.848084874,1.5279849,1.65654785,-0.033476693999999974,-3.7974311965468956,8.413888775995092,Aheli,5,5,4.973562202664319
3400,1.5149751,1.45763438,3.5866473,3.5546226499999998,-0.05734072000000001,-3.7849282143317087,-0.8928853974574059,Dhund,5,5,8.286974962629108
4285,1.14277834,1.09972107,2.0689707,1.98435345,-0.043057270000000036,-3.7677709222245177,-4.089823504992119,Bearma,3,3,9.217000836643193
4142,0.70675272,0.680257683,1.2515266,1.2171929000000001,-0.026495037,-3.7488411788496547,-2.7433456068772255,Dhasan,3,3,5.088048887100939
5080,4.69489348,4.52108834,11.25635,10.9854225,-0.1738051399999998,-3.7020039057414316,-2.4068858910748077,Kuliki,5,5,26.409610686502344
3521,0.885254828,0.8524883,2.0638475,1.9569602499999998,-0.03276652800000002,-3.701366766225647,-5.179028489265812,Sanwan,4,4,3.6710523127934276
3435,0.904603852,0.871163166,1.8667544,1.63340685,-0.03344068600000005,-3.6967216009599806,-12.500174098960205,Galwa,5,5,5.815351964671361
4184,2.25500524,2.1721276499999997,3.9176102,3.8481338,-0.08287759000000028,-3.6752726126703053,-1.7734383068535025,Narain,5,5,15.719823625234742
2918,2.4438301,2.35477437,4.648119,4.8051698,-0.08905573000000011,-3.6441048009024897,3.378803339587465,Ichamati,4,4,12.03756822652582
3712,2.63664246,2.5427664599999997,5.1847415,6.03045485,-0.09387600000000029,-3.56043723880561,16.31158178281404,Banas,3,3,13.9221176907277
4012,4.4733842,4.314624950000001,8.605992,7.99867085,-0.15875924999999924,-3.5489741748540005,-7.056956943487753,Gomti,2,2,18.94160175774648
4125,1.3432067200000002,1.29584067,2.4049342,2.3964913,-0.04736605000000016,-3.5263410534456043,-0.35106573809794545,Sonar,3,3,8.976231531314554
4565,38.055346,36.716919399999995,76.47469,69.08975000000001,-1.3384266000000054,-3.5170527683548203,-9.656711259633726,Koel,3,3,165.44569190962443
3724,15.5061442,14.9699367,28.027792,30.083112999999997,-0.5362074999999997,-3.4580324617386164,7.333153464247186,Banas,3,3,78.35306833685445
5077,5.9883828,5.78225268,14.680715,13.7997485,-0.20613012000000008,-3.4421667232094797,-6.000841920846495,Tangon,5,5,35.41306835023474
3722,14.9367976,14.426096450000001,27.047878,28.899635,-0.5107011499999992,-3.419080606675685,6.846219137782265,Banas,3,3,75.0891224988263
3850,4.87618736,4.71050306,10.135975,8.798041000000001,-0.16568430000000056,-3.397824730016128,-13.199854972017974,Baur,4,4,25.550173559389673
4600,31.5038038,30.4353824,63.43087,58.38443,-1.0684213999999983,-3.3914044373270196,-7.955810790550401,Koel,3,3,139.27399572887325
4542,1.3709884,1.3247268200000002,2.6737387,2.4966185999999997,-0.04626157999999991,-3.374323225491908,-6.624435663814128,Ganga,1,1,5.13697661016432
4598,28.286845600000003,27.3344509,57.39346,52.4759385,-0.9523947000000028,-3.3669173066084213,-8.568086851707493,Koel,3,3,125.72937177112676
4113,97.8660308,94.5933356,176.94289,169.81103000000002,-3.272695200000001,-3.344056332158922,-4.030599929728733,Betwa,2,2,586.805453463615
4307,2.13998696,2.06849506,3.7599592,3.7430415,-0.07149189999999983,-3.3407633474551566,-0.4499437121551754,Bearma,3,3,15.659296978521127
5125,6.19264248,5.9865651,12.863464,12.7809785,-0.20607737999999998,-3.3277777728256646,-0.6412386274801302,Burhi Gandak,2,2,34.648594546009384
4907,5.28620388,5.11154757,10.686724,10.336784999999999,-0.17465631000000048,-3.3040025312077157,-3.2745207979545548,Bagmati,2,2,39.94799886889671
4372,6.61687868,6.399988029999999,12.417411,13.8786615,-0.21689065000000074,-3.2778393029264477,11.767754969212184,Johilla,5,5,30.71416662640845
4611,19.6694344,19.0274475,37.82189,44.730410000000006,-0.6419868999999991,-3.2638808363498195,18.265930126707055,Kanhar,3,3,91.40969545539906
5078,14.0306853,13.574084099999999,33.701702,31.173128,-0.4566012000000015,-3.2543043353698584,-7.502808018419957,Tangan,4,4,74.25595527758216
1562,3.00301942,2.90576007,7.5759125,7.17258415,-0.0972593500000003,-3.238718649378574,-5.323825347771647,Punarbhaba,4,4,18.983422844248828
3971,3.6112557400000003,3.49452014,6.8735275,6.87969215,-0.11673560000000016,-3.232548686790046,0.08968684565531379,Karmanasa,3,3,14.19378905516432
2914,8.2175902,7.9564543,18.325678,17.686183,-0.2611359000000002,-3.1777673702930596,-3.48961168039731,Kalindi,5,5,41.62069646079812
5139,9.9349692,9.6204319,19.205801,18.3690445,-0.3145372999999996,-3.1659615009173816,-4.356790430141393,Kiul,3,3,38.67125150762911
3248,2.87793512,2.78748528,6.400764,6.1941042500000005,-0.09044984000000023,-3.1428727969378345,-3.228673170890212,Sota,4,4,10.468388803521128
4844,3.6025157400000003,3.4897803,9.099404,8.2061205,-0.11273544000000024,-3.1293531558588064,-9.816945153770499,Mechi,4,4,25.126396564788735
3739,1.07022488,1.03689085,1.915515,1.9038768,-0.033334030000000014,-3.1146753007648273,-0.6075755084141943,Kadmali,5,5,4.472715411983568
3929,1.27478978,1.2355055000000001,2.4699616,2.377714,-0.03928427999999995,-3.0816280940062093,-3.734778710729749,Ganga,1,1,5.804889239143192
3767,0.51564152,0.49984765600000003,0.89262104,0.93481562,-0.015793863999999935,-3.0629542787787796,4.727042956549622,Bamnidai,5,5,3.2200688427230046
4577,119.32388,115.694438,239.64879,253.321405,-3.6294419999999974,-3.0416727984373266,5.705271868887804,Gandak,2,2,786.349094399061
4780,1.85403604,1.79780403,3.5179365,3.3990929000000003,-0.05623201,-3.032951290418281,-3.3782190212927237,Sharda,2,2,8.557980945950705
4124,1.14068676,1.10639427,2.027352,2.03108405,-0.0342924899999999,-3.00630209822019,0.184084954166814,Dehar,5,5,7.810166503462441
2978,2.55650646,2.48140709,4.9469886,4.863678999999999,-0.07509937000000022,-2.9375779476810013,-1.6840467350177568,Barnar,5,5,10.927676649413145
