seg_id,trend,p_value,tau,sens_slope_m3s_yr,norm_slope_pct_yr,pct_change,early_mean,late_mean,river_name,updated_tier,long_term_mean,category,severity
3977,decreasing,2.0141744302870634e-05,-0.3435054773082942,-0.3516737729166665,-1.1377738000224558,-42.71657512810396,38.332107093200754,21.957943768548386,Sai,3,31.17908987734742,Drying,Severe Drying
3980,decreasing,0.0007548407512556476,-0.2715179968701095,-0.03827987928571429,-0.9305844981895897,-42.64818352073503,5.089464917147728,2.91890057905914,Kadhu,5,4.141441269659625,Drying,Severe Drying
4795,decreasing,1.8524984579659787e-06,-0.3841940532081377,-0.08484290508080805,-1.4365382903713488,-42.4831086713525,7.324233085672349,4.2126711845430105,Mahakali,2,5.963142402230047,Drying,Severe Drying
3802,decreasing,2.725632818467716e-05,-0.3380281690140845,-0.06774327424242424,-1.114951292942292,-42.19443767100303,7.515717481289772,4.34450275311828,Ganga,1,6.130382831068076,Drying,Severe Drying
3536,decreasing,0.00015253140868631831,-0.3051643192488263,-0.01478993464285714,-1.1763032674831522,-42.08607407490307,1.5536702707651515,0.8997914497311827,Karwan,4,1.2676088839788733,Drying,Severe Drying
4800,decreasing,6.267776151425153e-07,-0.4014084507042254,-0.1156612131115984,-1.4259975226341752,-41.95777644757577,9.975440629772727,5.789967550672042,Mohana,4,8.147256315669013,Drying,Severe Drying
4799,decreasing,5.667290556843341e-07,-0.4029733959311424,-0.08010635740064102,-1.4233970448564013,-41.89640910273816,6.9199679785227275,4.020749884462366,Mohana,4,5.653549542394367,Drying,Severe Drying
4787,decreasing,2.039823144395214e-06,-0.3826291079812207,-0.05520432277182541,-1.3920874893677782,-41.89084779197008,4.898811968935606,2.8466581034139784,Surna,5,4.001336335481221,Drying,Severe Drying
4789,decreasing,4.350827704779903e-06,-0.3701095461658842,-0.12974214422809832,-1.3624202988389538,-41.63228149771281,11.74374508639962,6.854556073655914,Surna,5,9.60581579165493,Drying,Severe Drying
3956,decreasing,3.672089660122779e-05,-0.33255086071987483,-1.0796528700396826,-1.0139755421361787,-41.39484914257795,130.72340722140152,76.61065000806451,Sai,3,107.09921269835681,Drying,Severe Drying
3884,decreasing,1.4801795722441113e-07,-0.42331768388106417,-0.19238925447807015,-1.4496707011244014,-41.11298090910553,16.306156520056817,9.60220950295699,Dhela,5,13.369526920657279,Drying,Severe Drying
3813,decreasing,4.1667895961605694e-05,-0.3302034428794992,-0.27031399624999997,-1.0951157550015236,-41.093712127418094,30.333601583617423,17.868398670967743,Sai,3,24.888880846713615,Drying,Severe Drying
4788,decreasing,5.486591412084962e-06,-0.36619718309859156,-0.05685296726449279,-1.302109187594114,-41.07545222438297,5.366092677962121,3.1619458437096775,Surna,5,4.402420087253521,Drying,Severe Drying
3981,decreasing,0.00019256444293835884,-0.3004694835680751,-0.04654774611434109,-0.986409795371145,-41.06777283529803,5.80171961899053,3.4190825853225806,Sai,3,4.759915889565728,Drying,Severe Drying
4119,decreasing,5.960248015135505e-07,-0.40219092331768386,-0.03099554767460317,-1.369758999130946,-40.883759173667165,2.7798865664337122,1.6433644373118281,Orai,5,2.2818598411502347,Drying,Severe Drying
3814,decreasing,0.001957443199985809,-0.24960876369327073,-0.022471313077237588,-0.9662263222970421,-40.85714903028096,2.8492331145265153,1.6851176947043012,Ganga,1,2.3412719621948357,Drying,Severe Drying
3381,decreasing,2.470510877650156e-06,-0.3794992175273865,-0.48357082931818185,-1.4032683350189539,-40.70128695692027,42.17114592878788,25.006946811290323,Pahuj,4,34.64177576737089,Drying,Severe Drying
4423,decreasing,0.00029275367198056124,-0.2918622848200313,-0.24065011076515158,-1.028120961818739,-40.496275169986056,28.537151667727272,16.98066820268817,Ghaghi,5,23.49635492300469,Drying,Severe Drying
4005,decreasing,0.0038225973447996164,-0.23317683881064163,-0.10285911687565305,-0.8124855343211517,-40.32216935076761,15.482933642689394,9.239878918817205,Tamasa,3,12.754661771126761,Drying,Severe Drying
4657,decreasing,9.816794590555844e-07,-0.39436619718309857,-0.17094741901041666,-1.315235961608621,-39.64414832008435,15.866612930416668,9.576429366908602,Ghaghara,1,13.114006370528168,Drying,Severe Drying
4763,decreasing,0.04467570736996129,-0.1619718309859155,-0.02198273058391725,-0.5658173990990809,-39.64060471121602,4.716348280375,2.8467593017473116,Sarju,3,3.901484470762911,Drying,Severe Drying
3537,decreasing,9.066435339821766e-06,-0.35758998435054773,-0.07359729632183908,-1.2550282067850516,-39.52798760656301,7.14001260874053,4.317709309650537,Karwan,4,5.906119957089201,Drying,Severe Drying
3548,decreasing,3.373843693799117e-05,-0.33411580594679186,-0.12890315811403513,-1.288794715247653,-39.40214498470455,12.167906216590909,7.373490167526882,Kali,3,10.07387315753521,Drying,Severe Drying
4782,decreasing,9.342814411006373e-07,-0.3951486697965571,-0.3742831405009921,-1.3011503772131563,-39.30685818264862,34.886855182727274,21.173928491666665,Mohana,4,28.897295370539908,Drying,Severe Drying
3545,decreasing,8.744356600076664e-05,-0.3161189358372457,-0.07501999281236274,-1.2058217324370766,-39.14160408275029,7.547507949575757,4.5932922698387095,Kali,3,6.258123206384976,Drying,Severe Drying
4001,decreasing,0.0038225973447996164,-0.23317683881064163,-0.18650268744071824,-0.7394542165954795,-39.03190856346925,30.542630119867425,18.62125865860215,Gomti,2,25.345852470657274,Drying,Severe Drying
4447,decreasing,0.0016595808139703294,-0.2535211267605634,-0.07630623644359277,-0.904244505249841,-38.91258469030547,10.210494154318182,6.23732696922043,Rohini,3,8.478071887265259,Drying,Severe Drying
4784,decreasing,1.2555521791135504e-06,-0.3904538341158059,-0.49039597553745573,-1.2786832200812848,-38.73104678343308,46.3840441394697,28.41901830376344,Mohana,4,38.53631532206573,Drying,Severe Drying
4004,decreasing,0.00316975698026134,-0.2378716744913928,-0.06690659971139971,-0.8208371912627037,-38.51436971456759,9.868232408255682,6.067544894247312,Tamasa,3,8.207599196302816,Drying,Severe Drying
3987,decreasing,0.0022302457568530443,-0.24647887323943662,-0.06260320548787461,-0.9271714922421955,-38.440159308182636,8.104144224753787,4.988898274193549,Sai,3,6.746883204225353,Drying,Severe Drying
3551,decreasing,0.00010269423817677037,-0.3129890453834116,-0.018867062413419913,-1.1522461328768843,-38.41696046658029,1.971731426407197,1.2142521438172045,Hindon,3,1.641614083157277,Drying,Severe Drying
4779,decreasing,1.8524984579659787e-06,-0.3841940532081377,-0.11432048843537418,-1.2311191208534051,-37.8120410150764,11.187815242045454,6.957473954032258,Mohana,4,9.338894088732394,Drying,Severe Drying
4796,decreasing,3.235759389319526e-07,-0.41158059467918623,-0.059227062172807,-1.2990194458625033,-37.507555771006935,5.505018704162879,3.4402207434946237,Sharda,2,4.601534112758216,Drying,Severe Drying
3260,decreasing,0.0001714521556526183,-0.3028169014084507,-0.011055368272569442,-0.9487890922734913,-37.336940522858576,1.3797260592064393,0.8645785611021506,Yamuna,1,1.156249513697183,Drying,Severe Drying
3375,decreasing,2.1969892461726204e-05,-0.34194053208137715,-0.29161456247807016,-1.2371905349972385,-37.3121951660979,28.349182405189396,17.77148013817204,Pahuj,4,23.708332013849766,Drying,Severe Drying
4000,decreasing,0.005344613350192207,-0.2245696400625978,-0.14514719132495588,-0.707425207133059,-37.21757685414756,24.61499976435606,15.453893309408603,Gomti,2,20.6218797834507,Drying,Severe Drying
3483,decreasing,2.2452712074017e-06,-0.3810641627543036,-0.18928971494815666,-1.1227551338736728,-37.15316750549054,20.24605095746212,12.724001731989247,Rihand,3,16.957603782629107,Drying,Severe Drying
3316,decreasing,3.608079779171547e-06,-0.3732394366197183,-0.09484250114534885,-1.3466092547930184,-36.83231552668161,8.487319888176136,5.361243447204301,Shallu,5,7.118451696514084,Drying,Severe Drying
3843,decreasing,3.233493130805343e-05,-0.3348982785602504,-0.03485989367156182,-1.0975815489048524,-36.79817945427376,3.8190212244185604,2.4136909408602154,Khaimua,5,3.203613933286385,Drying,Severe Drying
3380,decreasing,5.486591412084962e-06,-0.36619718309859156,-0.25677370778363784,-1.1326755831293234,-36.51444709782836,27.140558571136363,17.230333669623654,Sengur,4,22.80271497206573,Drying,Severe Drying
3992,decreasing,0.004882855068526926,-0.2269170579029734,-0.019811860836956526,-0.7941638882650325,-36.26048117038359,2.9649751750587123,1.8898609100000001,Sai,3,2.4967856505399064,Drying,Severe Drying
4785,decreasing,2.470510877650156e-06,-0.3794992175273865,-0.5876514052936309,-1.0906981966767646,-35.871437189544956,64.15414473204545,41.141131,Mohana,4,54.10631065457747,Drying,Severe Drying
3947,decreasing,3.8304393702892625e-05,-0.3317683881064163,-0.09200276971726191,-0.9367150273575601,-35.78225121767616,11.697033373409091,7.51157150672043,Ganga,1,9.8654828814554,Drying,Severe Drying
3867,decreasing,1.0835143919862844e-06,-0.39280125195618154,-0.07835099500345066,-1.3346036362110878,-35.70991986232704,7.020189178346591,4.513285248575269,Bahalla,5,5.920942002394367,Drying,Severe Drying
3873,decreasing,3.406450872489586e-07,-0.4107981220657277,-1.333413295865633,-1.2799567795016953,-35.59603400671392,124.37225339602273,80.10066378225807,Ramganga,2,104.9670819730047,Drying,Severe Drying
3544,decreasing,0.0009641412662289017,-0.26604068857589985,-0.061263655625000024,-0.9936187790950566,-35.42225651951014,7.332718774178031,4.735304320134409,Kali,3,6.199140678697183,Drying,Severe Drying
3882,decreasing,1.6817629808763002e-06,-0.3857589984350548,-0.7321126077884106,-1.2708546584934874,-35.38153572904796,68.78580664323864,44.448331889247314,Ramganga,2,58.11465458333334,Drying,Severe Drying
3999,decreasing,0.020405077125275284,-0.18701095461658843,-0.04985661571637426,-0.6159747318795783,-35.310656975834384,9.610274257670454,6.216823280107526,Gomti,2,8.13171816056338,Drying,Severe Drying
4424,decreasing,0.0021589580682042087,-0.24726134585289514,-0.4190557938126572,-0.8621955986967318,-35.1532938111331,57.612583437310604,37.3598627094086,Ghaghara,1,48.77833181619719,Drying,Severe Drying
3495,decreasing,9.104183740804572e-05,-0.31533646322378717,-0.051517452083333345,-1.193379474227795,-34.97276721751481,5.125798718763258,3.3331650648118276,Khari,3,4.342592517347418,Drying,Severe Drying
4429,decreasing,0.002089765003054689,-0.24804381846635368,-0.1645158618981481,-0.8679053030446865,-34.89665267300564,22.51541171119318,14.65828668844086,Bansi,5,19.076305906807512,Drying,Severe Drying
3883,decreasing,5.388239794346106e-07,-0.40375586854460094,-1.1442898734567901,-1.2669876242017313,-34.826782398301084,107.40053667168561,69.99638547043011,Ramganga,2,91.00373475645539,Drying,Severe Drying
3952,decreasing,0.008787507339092171,-0.2112676056338028,-0.2160805616927084,-0.777783234446668,-34.745492302007705,32.989838883049245,21.527356953494625,Tamasa,3,27.981650245539907,Drying,Severe Drying
4781,decreasing,1.766875336217666e-05,-0.3458528951486698,-0.10454354271255062,-1.0206828508304284,-34.63033068208656,12.104024434166666,7.912360746774193,Mohana,4,10.27495405,Drying,Severe Drying
3809,decreasing,2.0141744302870634e-05,-0.3435054773082942,-0.8428028223684212,-1.173413632312112,-34.60116399423428,85.19446478873105,55.71618831317205,Kali,3,72.31492584859156,Drying,Severe Drying
3550,decreasing,0.00015253140868631831,-0.3051643192488263,-0.31058258640023,-1.0393675299874359,-34.54235777810929,35.40394823570075,23.174589768548387,Kali,3,30.06531688309859,Drying,Severe Drying
4006,decreasing,8.39799529983587e-05,-0.31690140845070425,-0.028872599641644014,-1.085955992934965,-34.53546616029299,3.150505436717803,2.0624636977419355,Sai,3,2.6754335180516433,Drying,Severe Drying
