seg_id,min_year,min_flow_m3s,river_name,tier,updated_tier,long_term_mean,max_year,max_flow_m3s,min_decade
3958,2007,90.78598333333332,Gomti,2,2,209.11067489788732,1955,476.66632291666673,2000
3959,2007,2305.7990083333334,Ganga,1,1,5024.77615350939,1961,8776.470425,2000
3960,2006,0.7244686766666666,Ganga,1,1,2.5402057462089203,1971,8.863889016666667,2000
3961,2007,2308.113746666667,Ganga,1,1,5027.640909847418,1961,8780.807625,2000
3962,2010,33.06060791666667,Karmanasa,3,3,93.7106961032864,1987,202.81741008333333,2010
3964,2015,1.380334775,Son,2,2,5.7914185120539905,2018,14.872043,2010
3967,2005,4.321113433333333,Karmanasa,3,3,12.674562082746478,1987,28.6240858,2000
3969,2010,8.242637266666668,Karmanasa,3,3,22.40668391619718,1987,50.23300379166667,2010
3970,2015,2.1159604416666666,Karmanasa,3,3,7.814021209859155,1987,18.947266733333336,2010
3971,2015,3.5807999583333334,Karmanasa,3,3,14.19378905516432,1987,33.742770908333334,2010
3972,2007,2150.3794725000002,Ganga,1,1,4623.0334967723,1961,8074.0125499999995,2000
3973,2015,4.481288916666666,Belan,3,3,18.089761138615025,2018,45.46694,2010
3974,2015,0.5311737291666666,Sai,3,3,2.6433009718661973,1980,10.253633726666667,2010
3975,2015,0.3656447725,Sai,3,3,3.2947167283450707,1980,12.964623445833332,2010
3976,2015,1.3719500175,Ganga,1,1,9.606986001232395,1980,33.36841950833333,2010
3977,2015,8.437995608333333,Sai,3,3,31.17908987734742,1980,95.52852671666666,2010
3978,2015,9.462627458333333,Sai,3,3,37.62860100539906,1980,120.91184769166667,2010
3979,2015,11.897099358333334,Sai,3,3,54.64927627453052,1980,187.165226,2010
3980,2007,0.8275207541666667,Kadhu,5,5,4.141441269659625,1955,14.973292466666665,2000
3981,2015,0.8470788408333334,Sai,3,3,4.759915889565728,1955,17.150598225,2010
3982,2015,1.9700688,Kadhu,5,5,10.353573054929576,1980,34.443271025,2010
3983,2015,13.739727416666668,Sai,3,3,63.66804083568075,1980,219.53719850000002,2010
3984,1997,426.9535608333333,Ganga,1,1,1175.6519141431925,1961,2024.3863974999997,1990
