seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991
3802,Ganga,1,0,0.0,,,,0,0
3803,Ganga,1,20,5208.1,Baigul Dam,213.57,1968.0,12,8
3804,Ganga,1,20,5208.1,Baigul Dam,243.62,1968.0,12,8
3805,Kali,99,0,0.0,,,,0,0
3806,Ganga,1,0,0.0,,,,0,0
3807,Pandu,99,0,0.0,,,,0,0
3808,Kali,99,0,0.0,,,,0,0
3809,Kali,99,0,0.0,,,,0,0
3810,Ganga,1,9,4072.31,Srinagar Dam,322.75,2014.0,1,8
3811,Ganga,1,9,4072.31,Srinagar Dam,340.89,2014.0,1,8
3812,Ganga,1,20,5208.1,Baigul Dam,254.19,1968.0,12,8
3813,Sai,99,0,0.0,,,,0,0
3814,Ganga,1,0,0.0,,,,0,0
3815,Ganga,1,0,0.0,,,,0,0
3816,Ganga,1,20,5208.1,Baigul Dam,260.0,1968.0,12,8
3817,Ganga,1,0,0.0,,,,0,0
3818,Ganga,1,20,5208.1,Baigul Dam,263.14,1968.0,12,8
3819,Ganga,1,20,5208.1,Baigul Dam,286.21,1968.0,12,8
3820,Rihand,99,0,0.0,,,,0,0
3821,Sengur,99,0,0.0,,,,0,0
3822,Rihand,99,0,0.0,,,,0,0
3823,Non,99,0,0.0,,,,0,0
3824,Yamuna,99,0,0.0,,,,0,0
3825,Non,99,0,0.0,,,,0,0
3826,Sengur,99,0,0.0,,,,0,0
3827,Ganga,1,20,5208.1,Nanak Sagar Dam,328.77,1962.0,12,8
3828,Yamuna,99,285,14758.45,Keeratwari Dam,90.88,1988.0,198,61
3829,Yamuna,99,285,14758.45,Keeratwari Dam,112.07,1988.0,198,61
3830,East Bahgul,99,0,0.0,,,,0,0
3831,Afsarha,99,0,0.0,,,,0,0
3832,East Bahgul,99,0,0.0,,,,0,0
3833,Deoha,99,1,209.0,Nanak Sagar Dam,60.4,1962.0,1,0
3834,Ramganga,99,10,926.78,Baigul Dam,81.72,1968.0,10,0
3835,Ramganga,99,10,926.78,Baigul Dam,120.17,1968.0,10,0
3836,Garra,2,0,0.0,,,,0,0
3838,Nandhaur,99,0,0.0,,,,0,0
3839,Deoha,99,1,209.0,Nanak Sagar Dam,6.63,1962.0,1,0
3840,Deoha,99,1,209.0,Nanak Sagar Dam,15.17,1962.0,1,0
3841,Ladhiya,99,0,0.0,,,,0,0
3842,Gaula,99,2,252.24,Dhora Dam,8.02,1960.0,2,0
3843,Khaimua,99,0,0.0,,,,0,0
3844,Khaimua,99,0,0.0,,,,0,0
3845,Katna,99,0,0.0,,,,0,0
3846,Deoha,99,1,209.0,Nanak Sagar Dam,111.34,1962.0,1,0
3847,Sharda,99,5,427.12,Sarda Sagar Dam,5.62,1962.0,1,4
3848,Baur,99,0,0.0,,,,0,0
3849,Bhakra,99,2,131.69,Haripura Dam,22.43,1975.0,2,0
3850,Baur,99,0,0.0,,,,0,0
3851,Baur,99,2,252.24,Dhora Dam,41.05,1960.0,2,0
3852,Baur,99,4,383.93,Dhora Dam,47.38,1960.0,4,0
3853,Gaula,99,4,383.93,Dhora Dam,56.58,1960.0,4,0
3855,Dabka,99,0,0.0,,,,0,0
3856,Baur,99,0,0.0,,,,0,0
3857,Kosi,99,0,0.0,,,,0,0
3858,Kosi,99,0,0.0,,,,0,0
3859,Ramganga,99,5,472.13,Tumaria Dam,88.35,1961.0,5,0
3860,Gaula,99,1,70.72,Baigul Dam,29.0,1968.0,1,0
3861,Gaula,99,5,454.65,Baigul Dam,60.67,1968.0,5,0
3862,Ramganga,99,0,0.0,,,,0,0
3863,Ramganga,99,10,926.78,Baigul Dam,62.64,1968.0,10,0
3864,Ramganga,99,0,0.0,,,,0,0
3865,Ramganga,99,0,0.0,,,,0,0
3866,Ramganga,99,10,926.78,Baigul Dam,104.43,1968.0,10,0
3867,Bahalla,99,0,0.0,,,,0,0
3869,Gangan,99,0,0.0,,,,0,0
3870,Ganga,1,0,0.0,,,,0,0
3872,Kosi,99,0,0.0,,,,0,0
3873,Ramganga,99,5,472.13,Tumaria Dam,56.3,1961.0,5,0
3874,Ramganga,99,5,472.13,Tumaria Dam,65.24,1961.0,5,0
3875,Ganga,1,9,4072.31,Koteshwar Hep Dam,197.84,2011.0,1,8
3876,Ganga,1,9,4072.31,Srinagar Dam,261.56,2014.0,1,8
3877,Ganga,1,0,0.0,,,,0,0
3878,Ganga,1,0,0.0,,,,0,0
3879,Gangan,99,0,0.0,,,,0,0
3880,Gangan,99,0,0.0,,,,0,0
3881,Khoh,99,0,0.0,,,,0,0
3882,Ramganga,99,3,300.26,Ram Ganga Dam,12.51,1974.0,3,0
3883,Ramganga,99,3,300.26,Pili Dam,32.18,1968.0,3,0
3884,Dhela,99,2,171.87,Tumaria Dam,27.92,1961.0,2,0
3885,Gomti,99,0,0.0,,,,0,0
3886,Kali Rau,99,0,0.0,,,,0,0
3887,Kosi,99,0,0.0,,,,0,0
3888,Ramganga,99,0,0.0,,,,0,0
3889,Bino,99,0,0.0,,,,0,0
3890,Ramganga,99,0,0.0,,,,0,0
3891,Ramganga,99,0,0.0,,,,0,0
3892,Pindar,99,0,0.0,,,,0,0
3893,Gagas,99,0,0.0,,,,0,0
3894,Mandal,99,0,0.0,,,,0,0
3895,Ramganga,99,0,0.0,,,,0,0
3896,Palain,99,0,0.0,,,,0,0
3897,Kali,99,0,0.0,,,,0,0
3899,Kali,99,0,0.0,,,,0,0
3900,Kali,99,0,0.0,,,,0,0
3901,Bagad,99,0,0.0,,,,0,0
3902,Ganga,1,0,0.0,,,,0,0
3904,Rihand,99,0,0.0,,,,0,0
3905,Ganga,1,0,0.0,,,,0,0
3907,Rihand,99,0,0.0,,,,0,0
3908,Ganga,1,9,4072.31,Srinagar Dam,269.85,2014.0,1,8
3909,Ganga,1,9,4072.31,Srinagar Dam,283.1,2014.0,1,8
3910,Ganga,1,9,4072.31,Srinagar Dam,299.41,2014.0,1,8
3911,Ganga,1,0,0.0,,,,0,0
3913,Ganga,1,0,0.0,,,,0,0
3914,Saswa,99,0,0.0,,,,0,0
3915,Song,99,0,0.0,,,,0,0
3916,Song,99,0,0.0,,,,0,0
3917,Ganga,1,9,4072.31,Koteshwar Hep Dam,26.02,2011.0,1,8
3918,Ganga,1,9,4072.31,Koteshwar Hep Dam,50.3,2011.0,1,8
3919,Ganga,1,0,0.0,,,,0,0
3920,Ganga,1,0,0.0,,,,0,0
3921,Banganga,99,0,0.0,,,,0,0
3922,Malin,99,0,0.0,,,,0,0
3923,Banganga,99,0,0.0,,,,0,0
3924,Ganga,1,9,4072.31,Koteshwar Hep Dam,82.08,2011.0,1,8
3925,Ganga,1,9,4072.31,Koteshwar Hep Dam,101.6,2011.0,1,8
3926,Solani,99,0,0.0,,,,0,0
3927,Solani,99,0,0.0,,,,0,0
3928,Ganga,1,9,4072.31,Koteshwar Hep Dam,113.65,2011.0,1,8
3929,Ganga,1,0,0.0,,,,0,0
3930,Gomti,99,0,0.0,,,,0,0
3931,Gomti,99,0,0.0,,,,0,0
3932,Gomti,99,0,0.0,,,,0,0
3933,Ganga,1,553,27367.98,Jirgo Dam,43.64,1958.0,419,94
3934,Ganga,1,553,27367.98,Jirgo Dam,62.75,1958.0,419,94
3935,Ganga,1,0,0.0,,,,0,0
3936,Ganga,1,0,0.0,,,,0,0
3937,Ganga,1,553,27367.98,Jirgo Dam,73.11,1958.0,419,94
3938,Ganga,1,553,27367.98,Jirgo Dam,87.67,1958.0,419,94
3939,Karmanasa,99,2,173.5,Chandraprabha Dam,50.34,1968.0,2,0
3941,Tamasa,99,0,0.0,,,,0,0
3943,Ganga,1,0,0.0,,,,0,0
3944,Tamasa,99,0,0.0,,,,0,0
3945,Tamasa,99,0,0.0,,,,0,0
3946,Gomti,99,0,0.0,,,,0,0
