dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Chatania Ghat Dam,24.4508,83.5644,Jharkhand,Kuljhiri Nala,1.68,1984.0,Wikipedia,4612.0,Panda,tier1_existing,1.722831
Buksa Dam,24.2628,85.1553,Jharkhand,Buksa,12.34,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",2807.0,Mohana,tier3_nearest,2.33
Hiroo Dam,24.1492,84.9339,Jharkhand,Hiroo,6.232,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",5172.0,Lilajan,tier3_nearest,16.29
Pandarwa Dam,24.3161,83.4292,Jharkhand,Pandarwa,3.814,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4612.0,Panda,tier3_nearest,17.87
Butan-Duba Dam,23.9503,84.0864,Jharkhand,Butan-Duba,3.48,1985.0,"NRLD_2019 (score=0.60, method=first_word_match)",4596.0,Koel,tier3_nearest,2.81
Chirka Dam,24.0083,83.6306,Jharkhand,Dhengura,6.172,1985.0,"NRLD_2019 (score=0.60, method=first_word_match)",4602.0,Kanhar,tier3_nearest,10.86
Danro Dam,24.0271,83.5543,Jharkhand,Danro,17.219,1985.0,"NRLD_2019 (score=0.60, method=first_word_match)",4602.0,Kanhar,tier3_nearest,3.48
Malay Dam,23.9186,84.2831,Jharkhand,North Koel,,1985.0,"NRLD_2019 (score=0.60, method=first_word_match)",4589.0,Auranga,tier3_nearest,5.0
Anraj Dam,24.0653,84.8181,Jharkhand,Anraj,30.426,,Not found,4593.0,Amanat,tier3_nearest,6.63
Babhani Khand Dam,24.3014,83.5136,Jharkhand,Banki,2.314,1987.0,Wikipedia,4604.0,Barhki,tier3_nearest,14.87
Sudhari Nala Dam,24.3428,84.8786,Jharkhand,Sudhari Nala,1.38,,Not found,4556.0,Lilajan,tier3_nearest,7.77
Amanat Dam,24.0075,84.5544,Jharkhand,Amanat,107.19,,Not found,4593.0,Amanat,tier1_existing,0.11255399999999999
Burhi Dam,24.3572,86.5414,Jharkhand,Pathro,249.229,,Not found,,,unassigned,35.15
Kanhar Dam,24.1228,83.2968,Jharkhand,Kanhar,574.0,1981.0,Wikipedia,4611.0,Kanhar,tier1_existing,0.013098
Punasi Dam,24.4783,86.5356,Jharkhand,Ajay,149.8,,Not found,,,unassigned,25.57
Tahlay Dam,24.0436,83.9578,Jharkhand,Tahlay,190.0,,Not found,4597.0,Tahle,tier1_existing,0.15173699999999998
Torai Dam,24.6567,87.6172,Jharkhand,Torai,248.0,,Not found,2954.0,Gumani,tier3_nearest,18.09
Batane Dam,24.4275,84.2603,Jharkhand,Batare,678.7,1990.0,"NRLD_2019 (score=0.60, method=first_word_match)",4543.0,Batane,tier3_nearest,4.54
North Koel Dam,24.6044,84.2869,Jharkhand,North Koel,702.0,,Not found,4543.0,Batane,tier1_existing,0.020313
Tekanpur Dam,26.005,78.2869,Madhya Pradesh,Chhachhundar Nadi,8.293,1895.0,"NRLD_2019 (score=0.60, method=first_word_match)",3475.0,Non,tier3_nearest,17.46
Sarra Dam,23.7458,80.4778,Madhya Pradesh,Katni,3.378,1896.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,13.87
Jawahargarh Dam,26.1356,77.3083,Madhya Pradesh,Chamberi,3.823,1899.0,"NRLD_2019 (score=0.60, method=first_word_match)",3349.0,Kunwari,tier3_nearest,9.33
Khanpura Dam,24.2322,77.0336,Madhya Pradesh,Local,4.27,1907.0,"NRLD_2019 (score=0.60, method=first_word_match)",3776.0,Parbati,tier3_nearest,9.23
Dinora Dam,25.4558,78.32,Madhya Pradesh,Nanga Nala,2.05,1907.0,"NRLD_2019 (score=0.60, method=first_word_match)",3471.0,Bilrai,tier3_nearest,13.26
Antalwasa Dam,23.33,75.2269,Madhya Pradesh,Local,5.83,1908.0,"NRLD_2019 (score=0.60, method=first_word_match)",3646.0,Maleni,tier3_nearest,10.82
Lokpal Sagar Dam,24.7219,80.21,Madhya Pradesh,Ranj,6.34,1909.0,"NRLD_2019 (score=0.60, method=first_word_match)",4277.0,Ken,tier3_nearest,15.36
Kamera Dam,26.2383,77.4369,Madhya Pradesh,Local,3.37,1910.0,"NRLD_2019 (score=0.60, method=first_word_match)",3349.0,Kunwari,tier3_nearest,10.05
Jumnera Dam,23.7819,79.5789,Madhya Pradesh,Local,1.312,1910.0,"NRLD_2019 (score=0.60, method=first_word_match)",4289.0,Bearma,tier3_nearest,3.19
Adner Dam,25.5456,78.0781,Madhya Pradesh,Sino,7.44,1911.0,"NRLD_2019 (score=0.60, method=first_word_match)",3472.0,Mahuar,tier3_nearest,8.12
Nagdagajora Dam,25.1539,78.2103,Madhya Pradesh,Nagda Nadi,3.58,1911.0,"NRLD_2019 (score=0.60, method=first_word_match)",3478.0,Betwa,tier3_nearest,5.27
Gorkha Bandha Dam,23.8553,80.1933,Madhya Pradesh,Local,1.25,1912.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,10.99
Chiraipani Dam,23.9114,79.6139,Madhya Pradesh,Local,2.7,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",4290.0,Bearma,tier3_nearest,8.46
Kheria Dam,25.4731,78.2586,Madhya Pradesh,Local,2.945,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",3471.0,Bilrai,tier3_nearest,7.15
Pipreheta Dam,23.6961,80.2372,Madhya Pradesh,Local,2.87,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,8.2
Jhaloni Dam,24.9572,78.1375,Madhya Pradesh,Dhamvarsi Nala,3.864,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",4158.0,Betwa,tier3_nearest,9.26
Dhapora Dam,25.0725,77.9639,Madhya Pradesh,Mahuar,6.234,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",3488.0,Aerma,tier3_nearest,13.23
