dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Rajgarh Dam,25.3447,77.5992,Madhya Pradesh,Local,2.27,1914.0,"NRLD_2019 (score=0.60, method=first_word_match)",3487.0,Sindh,tier3_nearest,16.65
Majhgawan Dam,23.8433,79.8281,Madhya Pradesh,Local,4.05,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,7.46
Pillowa Dam,26.4514,78.1444,Madhya Pradesh,Sank,16.93,1914.0,"NRLD_2019 (score=0.60, method=first_word_match)",3362.0,Sank,tier1_existing,0.287823
Kotwal Dam,26.4886,78.1256,Madhya Pradesh,Asan,91.55,1914.0,"NRLD_2019 (score=0.60, method=first_word_match)",3366.0,Asan,tier1_existing,0.104673
Khankuria Dam,24.2753,76.9444,Madhya Pradesh,Local,0.703,1915.0,"NRLD_2019 (score=0.60, method=first_word_match)",3589.0,Ghora Pachhar,tier3_nearest,14.86
Jamakheri Dam,24.5889,77.7989,Madhya Pradesh,Local,4.53,1915.0,"NRLD_2019 (score=0.60, method=first_word_match)",4188.0,Urvashi,tier3_nearest,7.41
Keshopur Dam,24.4822,77.9267,Madhya Pradesh,Local,2.41,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",4188.0,Urvashi,tier3_nearest,8.24
Momanpura Dam,22.9375,76.3925,Madhya Pradesh,Local,4.23,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",3593.0,Kali Sindh,tier3_nearest,4.91
Bharoli Dam,24.8358,77.8075,Madhya Pradesh,Local,2.07,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",3485.0,Sindh,tier3_nearest,6.2
Mohari Dam,24.6139,77.4089,Madhya Pradesh,Kenera Nadi,2.67,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",3344.0,Sindh,tier3_nearest,7.1
Narola Dam,23.4064,76.8108,Madhya Pradesh,Local,3.24,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",3581.0,Newaj,tier3_nearest,9.84
Siloda Dam,23.3056,76.7981,Madhya Pradesh,Jamdhar,4.28,1916.0,"NRLD_2019 (score=0.60, method=first_word_match)",3581.0,Newaj,tier3_nearest,13.21
Govindgarh Dam,24.3797,81.2733,Madhya Pradesh,Bihar Nadi,11.96,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",4077.0,Tons,tier3_nearest,5.97
Harduamudar Dam,23.7708,79.5456,Madhya Pradesh,Local,1.59,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",4289.0,Bearma,tier3_nearest,4.77
Mausandha Dam,23.7108,79.9192,Madhya Pradesh,Ghatprabha,1.393,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,15.49
Samarsingha Dam,24.6553,77.1647,Madhya Pradesh,Local,6.09,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",3340.0,Parbati,tier3_nearest,9.64
Amahi Dam,24.5194,77.6825,Madhya Pradesh,Akhebarnadi,11.27,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",4188.0,Urvashi,tier3_nearest,8.95
Rampur Dam,24.7731,77.1719,Madhya Pradesh,Negi,15.038,1958.0,"NRLD_2019 (score=0.60, method=first_word_match)",3340.0,Parbati,tier1_existing,0.552003
Tigra Dam,26.2225,77.9997,Madhya Pradesh,Sankh,,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",3362.0,Sank,tier1_existing,0.041847
Harsi Dam,25.7514,77.2319,Madhya Pradesh,Parwati,19.267,1917.0,"NRLD_2019 (score=0.60, method=first_word_match)",3337.0,Kuno,tier3_nearest,2.57
Patharhatta Dam,24.5981,80.6958,Madhya Pradesh,Local Nalla,2.695,1918.0,"NRLD_2019 (score=0.60, method=first_word_match)",4100.0,Satna,tier3_nearest,2.56
Chandapatha Dam,25.4339,77.7125,Madhya Pradesh,Local,7.78,1918.0,"NRLD_2019 (score=0.60, method=first_word_match)",3465.0,Sindh,tier3_nearest,9.27
Baisly Dam,26.4289,78.4297,Madhya Pradesh,Vaisali,21.678,1919.0,"NRLD_2019 (score=0.60, method=first_word_match)",3370.0,Vaisali,tier1_existing,0.216783
Chhoti Deori Dam,23.5642,79.7233,Madhya Pradesh,Bearona,0.84,1919.0,"NRLD_2019 (score=0.60, method=first_word_match)",4285.0,Bearma,tier3_nearest,15.73
Lower Sakarwara Dam,23.78,79.8778,Madhya Pradesh,Patpara,3.482,1919.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,10.76
Jaguwa Dam,23.7458,80.8744,Madhya Pradesh,Bhader,4.81,1921.0,"NRLD_2019 (score=0.60, method=first_word_match)",4369.0,Katni,tier3_nearest,9.2
Ratona Dam,23.8219,78.6617,Madhya Pradesh,Local,0.618,1924.0,"NRLD_2019 (score=0.60, method=first_word_match)",4143.0,Dhasan,tier3_nearest,9.02
Chandia Nalla Dam,24.31,79.0511,Madhya Pradesh,Local,6.0,1926.0,"NRLD_2019 (score=0.60, method=first_word_match)",4148.0,Dhasan,tier3_nearest,9.09
Narayanpura Dam,24.5136,79.0689,Madhya Pradesh,Local,1.357,1926.0,"NRLD_2019 (score=0.60, method=first_word_match)",4153.0,Dhasan,tier3_nearest,5.31
Amadi Dam,23.8231,80.56,Madhya Pradesh,Amadi,6.04,1927.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,9.02
Mala Dam,23.6961,79.7375,Madhya Pradesh,Sun Nadi,19.96,1929.0,"NRLD_2019 (score=0.60, method=first_word_match)",4288.0,Bearma,tier3_nearest,7.65
Godaghat Dam,23.795,79.8156,Madhya Pradesh,Local,4.63,1930.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,11.93
Depalpur Dam,22.8711,75.5717,Madhya Pradesh,Banaria Nalla,22.46,1931.0,"NRLD_2019 (score=0.60, method=first_word_match)",3658.0,Chambal,tier3_nearest,8.67
Ramova Dam,26.1589,78.2233,Madhya Pradesh,Londra Nadi,12.96,1931.0,"NRLD_2019 (score=0.60, method=first_word_match)",3356.0,Vaisali,tier3_nearest,11.68
Aoda Dam,25.515,76.7858,Madhya Pradesh,Seep,55.7,1934.0,"NRLD_2019 (score=0.60, method=first_word_match)",3330.0,Kadwal,tier3_nearest,4.76
Kaketo Dam,25.8992,77.695,Madhya Pradesh,Parwati,80.51,1934.0,"NRLD_2019 (score=0.60, method=first_word_match)",3453.0,Parbati,tier1_existing,0.32967
Jamonia Dam,23.24,77.1092,Madhya Pradesh,Local,12.496,1938.0,"NRLD_2019 (score=0.60, method=first_word_match)",3585.0,Paru,tier3_nearest,14.41
Lilgi Bund Bela Dam,24.2614,80.7369,Madhya Pradesh,Lilgi Nalla,15.15,1960.0,"NRLD_2019 (score=0.60, method=first_word_match)",4101.0,Satna,tier3_nearest,7.02
Yashvant Sagar Dam,22.8244,75.6939,Madhya Pradesh,Gambhir,15.963,1939.0,"NRLD_2019 (score=0.60, method=first_word_match)",3655.0,Gambhir,tier1_existing,0.287823
Konajhir Dam,23.1303,77.0481,Madhya Pradesh,Local,1.035,1940.0,"NRLD_2019 (score=0.60, method=first_word_match)",3790.0,Ajnal,tier3_nearest,11.26
Noonpani Dam,23.8703,79.5883,Madhya Pradesh,Local,0.75,1952.0,"NRLD_2019 (score=0.60, method=first_word_match)",4290.0,Bearma,tier3_nearest,8.92
Sirsa Dam,26.045,77.8831,Madhya Pradesh,Koil,7.381,1953.0,"NRLD_2019 (score=0.60, method=first_word_match)",3362.0,Sank,tier3_nearest,10.81
Gopalpura Dam,24.3171,75.1798,Madhya Pradesh,Local,5.657,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3645.0,Retam,tier1_existing,0.090687
Poiadonger Dam,24.2403,75.7464,Madhya Pradesh,Local,2.197,1956.0,"NRLD_2019 (score=0.60, method=first_word_match)",3604.0,Ahu,tier3_nearest,3.12
