seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
3685,26.2528997,26.955006411290324,0.7021067112903232,2.6743968068804347,Padma,1,1,104.5436903673709,no trend,0.438737876982112,0.04775573503872951
3593,3.116331199375,3.2002501241935484,0.08391892481854857,2.692875674940425,Kali Sindh,3,3,12.02733139859155,no trend,0.8894646599057274,-0.01846613430146692
3780,22.931131515625,23.552242612903225,0.6211110972782237,2.7085933236875204,Parbati,3,3,105.983769564554,no trend,0.8116839148720996,-0.029366270248462382
3789,1.2890229121875,1.3240971445967744,0.03507423240927432,2.720993713738771,Parbati,3,3,6.052130992593897,no trend,0.9841594261303772,0.006352627929090334
3596,16.649030628125,17.10546016935484,0.4564295412298378,2.741478176265692,Kali Sindh,3,3,72.15071639765259,no trend,0.9841594261303772,-0.002870523359350822
3731,2.6781160756249998,2.7516546751612903,0.0735385995362905,2.745907849387319,Berach,4,4,9.374983425715962,no trend,0.7963229756501722,0.0991376763438411
3594,2.90407291625,2.9853360008064516,0.08126308455645148,2.798245323033613,Lakundar,4,4,13.040260820070424,no trend,0.8894646599057274,0.020229826376448372
3777,0.7942873775,0.8166517955645162,0.022364418064516167,2.815658248895711,Parbati,3,3,3.479168408673709,no trend,0.4505660066901904,-0.09869553950186027
4431,124.72185835625001,128.23509241129034,3.5132340550403285,2.8168551217423987,Gandak,2,2,697.3861592488263,no trend,0.2146399323202448,0.16041699614461252
2922,8.453575575624999,8.692189625806453,0.23861405018145376,2.822640527038907,Ichamati,4,4,29.881333957042255,no trend,0.4505660066901904,0.05969842181041891
2929,27.84551904375,28.637187604838708,0.7916685610887093,2.843073457689421,Padma,1,1,110.81585504577464,no trend,0.3987716292538952,0.051755132025319756
4493,53.14874611875,54.668337346774194,1.519591228024197,2.85912902748257,Gandak,2,2,255.6173238955399,no trend,0.2704939159696198,0.16021828471067548
4843,10.3490480725,10.645599792741937,0.2965517202419363,2.8654975623308596,Mahananda,2,2,76.66235415845071,increasing,0.011041631469831836,0.18790734241307525
3776,17.287488584375,17.783773233870967,0.4962846494959656,2.870773548591228,Parbati,3,3,81.50647842723005,no trend,0.9288074636400747,-0.011680712482574488
3571,2.077440499375,2.137087947580645,0.059647448205644604,2.87119887301656,Ghar Ganga,4,4,9.500829534518779,no trend,0.8581805908972016,-0.030209925279419125
4180,1.1229281279375,1.1555439211290321,0.03261579319153207,2.904530786973697,Naren,5,5,5.07400180629108,no trend,0.6839950244742647,-0.049818487753203126
3333,197.63473775,203.4372527903226,5.802515040322589,2.9359793254880815,Chambal,2,2,823.1478288838028,no trend,0.6126529076996985,-0.06672672361608879
3778,20.649561265625,21.25691891935484,0.6073576537298386,2.9412617823551406,Parbati,3,3,95.96276251995306,no trend,0.8581805908972016,-0.02137569738693253
4507,19.323972384375,19.89926744032258,0.5752950559475778,2.977105558341361,Gandak,2,2,102.45096536713616,no trend,0.48711284347936656,0.11435311809638855
3649,0.9323114086875,0.9603503370967742,0.028038928409274244,3.007463831076272,Pingla,5,5,3.6757916681455396,no trend,0.9367000897482891,0.020944054854242465
3591,18.6538665,19.224793846774194,0.5709273467741944,3.0606381083203016,Parvan,4,4,88.02061501056339,no trend,0.7963229756501722,-0.036495111350886365
3631,14.689200234374999,15.138989024193549,0.44978878981854997,3.0620372970747223,Shipra,4,4,59.22706986983568,no trend,0.7886715975821632,-0.05181413106160967
4273,60.380610831249996,62.23239239516129,1.8517815639112953,3.0668480136555782,Ken,2,2,290.8415646725352,no trend,0.8503922744984573,-0.02491956662538241
5084,1.6095026731250002,1.6597466959677418,0.050244022842741654,3.1217110528426883,Padma,1,1,6.204239634471831,no trend,0.6266582636866325,0.028054966330643003
