seg_id,trend,p_value,tau,sens_slope_m3s_yr,intercept,long_term_mean_m3s,norm_slope_pct_yr,total_change_pct,river_name,tier,updated_tier
4183,no trend,0.3736762927138684,-0.07198748043818466,-0.49855329166666695,238.77380627083338,243.05394013131314,-0.20512043186681808,-14.768671094410902,Betwa,2,2
5172,no trend,0.35314920453786036,-0.07511737089201878,-0.013133932247725386,6.386127398960919,6.406104301378367,-0.20502214184835282,-14.761594213081404,Lilajan,4,4
3746,no trend,0.48088440255926135,-0.05712050078247261,-0.3901298026175195,187.44229832625527,190.31659171664563,-0.20498990608152934,-14.759273237870111,Parbati,3,3
4562,no trend,0.30046084574552445,-0.0837245696400626,-0.11671755833333335,59.054969570833336,56.97037247169612,-0.20487413592270382,-14.750937786434674,Punpun,3,3
3399,no trend,0.468865731616952,-0.05868544600938967,-0.019231768434343446,7.405925166919191,9.405259859336068,-0.20447886312522415,-14.722478145016138,Mashi,4,4
4735,no trend,0.4453347120023703,-0.061815336463223784,-0.05446836583110519,28.234476866170905,26.713532283691077,-0.20389802910623978,-14.680658095649264,Banganga,4,4
4578,no trend,0.45701514595618686,-0.06025039123630673,-0.0070044309493450365,3.3330936591184153,3.4422741231197396,-0.2034826599747061,-14.65075151817884,Ganga,1,1
3849,no trend,0.4224917781104891,-0.0649452269170579,-0.041372530963480925,20.342306224203572,20.41055655284091,-0.20270163068004313,-14.594517408963105,Bhakra,5,5
5148,no trend,0.35314920453786036,-0.07511737089201878,-0.025961284424603145,12.16432573457341,12.8092886138468,-0.20267545846799861,-14.5926330096959,Panchane,4,4
3745,no trend,0.47485419172648413,-0.057902973395931145,-0.3778154486093354,182.21295825896473,186.4147921419402,-0.2026746076682899,-14.592571752116873,Parbati,3,3
5110,no trend,0.3333500217009937,-0.0782472613458529,-0.08800570466116273,45.680667182137945,43.82862761083754,-0.20079502703708083,-14.45724194666982,Gahra,5,5
4199,no trend,0.5305931142576203,-0.05086071987480438,-0.025406081984127027,12.104598506269843,12.66777372946128,-0.2005568028503732,-14.44008980522687,Sagar,5,5
3419,no trend,0.4869560812360789,-0.056338028169014086,-0.0022872375892957356,0.8111639327533321,1.1412479559722224,-0.200415481782594,-14.429914688346768,Mashi,4,4
3744,no trend,0.5434157270143498,-0.04929577464788732,-0.35886498171296227,175.93931547581016,180.5246533628998,-0.1987900129028658,-14.312880929006337,Parbati,3,3
3626,no trend,0.5054169484685467,-0.0539906103286385,-0.07006729650411281,33.48630405089601,35.530991333743685,-0.19720051108613482,-14.198436798201707,Mej,4,4
4176,no trend,0.3285143688068808,-0.07902973395931143,-0.32211446779537295,163.2366321900691,163.6140735473485,-0.1968745480211736,-14.174967457524499,Betwa,2,2
3519,no trend,0.5054169484685467,-0.0539906103286385,-0.00472593337301587,2.2377715280753963,2.401386423530093,-0.19680020369519038,-14.169614666053707,Sanwan,4,4
4046,no trend,0.43382633879160837,-0.06338028169014084,-0.00890966295910494,4.608462050881559,4.528720709097223,-0.19673686083593872,-14.165053980187588,Gomti,2,2
4548,no trend,0.3481310090480654,-0.07589984350547731,-0.01830998896356041,9.545070737373061,9.35951205089436,-0.1956297386444497,-14.085341182400379,Dardha,4,4
4179,no trend,0.3949258884499005,-0.06885758998435054,-0.4674824375000043,233.21702678125018,239.05778164625423,-0.19555206874284536,-14.079748949484866,Betwa,2,2
4192,no trend,0.4395589046351571,-0.06259780907668232,-0.041284926918117346,21.126721209759832,21.204961049210862,-0.1946946604726433,-14.018015554030319,Halali,5,5
3428,no trend,0.4453347120023703,-0.061815336463223784,-0.005585222920524697,2.0920573336786266,2.8716413641761362,-0.19449583747471466,-14.003700298179456,Sohadra,5,5
