seg_id,river_name,tier,spei_cell_lat,spei_cell_lon,spei_data_available,spei12_annual_mean,spei12_early_mean,spei12_late_mean,spei12_pct_change_proxy,spei12_mk_trend,spei12_mk_p,spei12_mk_tau,spei12_sens_slope,spei_category
3531,Barah,99,27.525,76.775,True,0.067,0.0842,0.0448,-0.0394,no trend,0.2146399323202448,-0.101,-0.006481,SPEI Stable
3532,Barah,99,27.475,76.825,True,0.0513,0.0648,0.0338,-0.0311,no trend,0.09936803745714684,-0.134,-0.007391,SPEI Stable
3533,Yamuna,99,27.975,77.675,True,-0.1515,-0.0152,-0.3273,-0.3121,decreasing,0.005118383692698902,-0.2274,-0.012604,SPEI Drying
3534,Hindon,99,28.625,77.425,True,0.16,0.2949,-0.0142,-0.3091,decreasing,0.030453404617443613,-0.1759,-0.01126,SPEI Drying
3535,Yamuna,99,28.075,77.525,True,-0.136,-0.0784,-0.2104,-0.132,no trend,0.10997871362766065,-0.13,-0.007167,SPEI Stable
3536,Karwan,99,27.275,78.075,True,-0.0046,0.23,-0.3074,-0.5373,decreasing,0.0005509332325082106,-0.2805,-0.018319,SPEI Drying
3537,Karwan,99,27.625,78.075,True,-0.0113,0.1853,-0.265,-0.4503,decreasing,0.00544204075020871,-0.2258,-0.013723,SPEI Drying
3538,Karwan,99,27.325,78.075,True,-0.0423,0.1757,-0.3236,-0.4993,decreasing,0.0018260270673062795,-0.2531,-0.016592,SPEI Drying
3539,Karwan,99,27.225,78.075,True,-0.0188,0.2251,-0.3336,-0.5587,decreasing,0.00019708616352720476,-0.3022,-0.01896,SPEI Drying
3541,Karwan,99,27.875,77.975,True,-0.0916,0.1686,-0.4274,-0.5959,decreasing,2.2969035307074392e-06,-0.3835,-0.020706,SPEI Drying
3543,Kali,99,28.275,78.075,True,-0.1002,0.2395,-0.5385,-0.778,decreasing,2.0809522616183074e-07,-0.4213,-0.023982,SPEI Drying
3544,Kali,99,28.875,77.875,True,0.0976,0.3404,-0.2158,-0.5561,decreasing,0.0003260552028803154,-0.2918,-0.017414,SPEI Drying
3545,Kali,99,28.825,77.725,True,0.0892,0.235,-0.0989,-0.3339,decreasing,0.004249107139573383,-0.2322,-0.012055,SPEI Drying
3547,Kali,99,28.975,77.775,True,0.0951,0.3095,-0.1815,-0.491,decreasing,0.0023835833487846347,-0.2467,-0.015083,SPEI Drying
3548,Kali,99,28.625,77.825,True,0.0299,0.3385,-0.3684,-0.7069,decreasing,6.244934886989739e-07,-0.4044,-0.023985,SPEI Drying
3549,Kali,99,28.625,77.825,True,0.0299,0.3385,-0.3684,-0.7069,decreasing,6.244934886989739e-07,-0.4044,-0.023985,SPEI Drying
3550,Kali,99,28.325,77.925,True,-0.1,0.2209,-0.514,-0.7349,decreasing,1.3729709322340966e-05,-0.3529,-0.018892,SPEI Drying
3551,Hindon,99,28.875,77.375,True,0.1349,0.2512,-0.0151,-0.2663,decreasing,0.009296815412002779,-0.2113,-0.012039,SPEI Drying
3552,Hindon,99,28.975,77.425,True,0.1308,0.3003,-0.0879,-0.3882,decreasing,0.0007644909668651501,-0.2732,-0.0151,SPEI Drying
3553,Kali,99,29.625,77.725,True,0.113,0.1159,0.1092,-0.0067,no trend,0.21833026536228317,-0.1002,-0.00571,SPEI Stable
3554,Kali,99,29.675,77.725,True,0.1082,0.0389,0.1976,0.1587,no trend,0.873797961750338,-0.0133,-0.000649,SPEI Stable
3555,Solani,99,29.925,77.875,True,0.1584,0.1526,0.1658,0.0131,no trend,0.40434307377687007,-0.068,-0.003899,SPEI Stable
3556,Kali,99,29.375,77.675,True,0.0067,0.1757,-0.2113,-0.387,decreasing,0.0035159086950111718,-0.237,-0.014208,SPEI Drying
3558,Kali,99,29.275,77.775,True,0.0756,0.2399,-0.1364,-0.3763,decreasing,0.00984896035099081,-0.2097,-0.011906,SPEI Drying
3559,Hindon,99,29.175,77.475,True,0.0861,0.2827,-0.1676,-0.4503,decreasing,0.0015412846926361468,-0.2571,-0.015193,SPEI Drying
3560,Amjar,99,24.775,75.975,True,0.0497,-0.0004,0.1143,0.1147,no trend,0.49964167063568277,0.0551,0.002667,SPEI Stable
3561,Ahu,99,24.625,76.075,True,0.0095,-0.0466,0.082,0.1287,no trend,0.8348600876973751,0.0173,0.000796,SPEI Stable
3562,Ahu,99,24.675,76.125,True,0.0025,-0.0518,0.0724,0.1242,no trend,0.9683250952101472,0.0036,0.000135,SPEI Stable
3563,Kali Sindh,99,24.475,76.225,True,-0.0306,-0.0955,0.0532,0.1487,no trend,0.42709019490083033,0.0648,0.003297,SPEI Stable
3564,Kali Sindh,99,24.825,76.175,True,-0.02,-0.0836,0.0619,0.1455,no trend,0.9683250952101472,0.0036,0.000152,SPEI Stable
3565,Kali Sindh,99,25.025,76.125,True,-0.0746,-0.0677,-0.0836,-0.0159,no trend,0.4933559583597926,-0.0559,-0.00329,SPEI Stable
3566,Ujar,99,24.825,76.275,True,-0.0567,-0.0761,-0.0315,0.0446,no trend,0.7810405515546475,-0.0229,-0.001707,SPEI Stable
3567,Parvan,99,24.875,76.425,True,-0.1183,-0.1165,-0.1207,-0.0042,no trend,0.41562472802453176,-0.0664,-0.003938,SPEI Stable
3568,Kali Sindh,99,25.075,76.175,True,-0.0559,-0.1194,0.0261,0.1455,no trend,0.5919087714885272,0.0439,0.002374,SPEI Stable
3569,Kali Sindh,99,25.125,76.175,True,-0.0627,-0.0986,-0.0163,0.0824,no trend,1.0,-0.0004,-0.000103,SPEI Stable
3570,Chauli,99,24.275,76.125,True,0.0002,-0.0396,0.0514,0.091,no trend,0.49964167063568277,0.0551,0.003115,SPEI Stable
3571,Ghar Ganga,99,24.175,76.575,True,-0.0206,-0.0965,0.0773,0.1738,no trend,0.1934395790262089,0.1058,0.006542,SPEI Stable
3572,Chhapi,99,24.225,76.425,True,-0.0153,-0.1364,0.1409,0.2774,no trend,0.09148147736076861,0.1372,0.008973,SPEI Stable
3573,Chhapi,99,24.475,76.525,True,-0.0537,-0.1429,0.0613,0.2042,no trend,0.3558846702088707,0.0753,0.004768,SPEI Stable
3574,Kali Sindh,99,24.275,76.175,True,-0.0008,-0.0541,0.068,0.1221,no trend,0.35073611533288473,0.0761,0.00412,SPEI Stable
3575,Kali Sindh,99,25.225,76.275,True,-0.0683,-0.1173,-0.0051,0.1122,no trend,0.8348600876973751,0.0173,0.000523,SPEI Stable
3576,Baleti,99,23.275,76.675,True,-0.0608,-0.0325,-0.0973,-0.0648,no trend,0.7582763349793675,-0.0254,-0.00146,SPEI Stable
3577,Newaj,99,23.175,76.625,True,0.0212,0.0513,-0.0176,-0.0689,no trend,0.43289136551861285,-0.064,-0.004175,SPEI Stable
3578,Kali Sindh,99,23.525,76.375,True,0.0092,-0.0197,0.0464,0.0661,no trend,0.36108062910799354,0.0744,0.005083,SPEI Stable
3579,Parbati,99,23.125,76.825,True,-0.0355,0.0164,-0.1024,-0.1188,no trend,0.5448050803429232,-0.0495,-0.003051,SPEI Stable
3580,Newaj,99,23.375,76.675,True,-0.0531,-0.0282,-0.0853,-0.057,no trend,0.9209218347701116,-0.0085,-0.000304,SPEI Stable
3581,Newaj,99,23.425,76.725,True,-0.0507,-0.0238,-0.0853,-0.0614,no trend,0.8503922744984573,-0.0157,-0.001139,SPEI Stable
3582,Newaj,99,23.675,76.725,True,-0.0386,-0.0363,-0.0416,-0.0052,no trend,0.8973146218766033,-0.0109,-0.000793,SPEI Stable
3583,Dudhi,99,23.775,76.925,True,-0.1073,-0.0952,-0.1228,-0.0276,no trend,0.9445989408361049,0.006,0.000415,SPEI Stable
3584,Newaj,99,24.125,76.725,True,-0.0416,-0.096,0.0285,0.1245,no trend,0.32084351186557547,0.0809,0.005083,SPEI Stable
3585,Paru,99,23.425,77.075,True,-0.0569,0.0039,-0.1353,-0.1392,no trend,0.49964167063568277,-0.0551,-0.003862,SPEI Stable
