seg_id,river_name,tier,intervention_year,n_upstream_dams,total_upstream_capacity_mcm,pre_years,post_years,pre_mean_m3s,post_mean_m3s,pre_cv,post_cv,pct_change_post_vs_pre,mann_whitney_U,p_value,dam_effect,a6_category,a6_severity
4612,Panda,99,1983,2,5.49,32,40,8.5016,8.4116,0.4296,0.5097,-1.06,670.0,0.7381474709661748,No Significant Change,Stable,Stable
4613,Son,99,1960,127,18090.38,9,63,786.4909,792.3521,0.2349,0.3238,0.75,280.0,0.9592610203141445,No Significant Change,Stable,Stable
4618,Rihand,99,1992,1,1.55,41,31,5.7682,5.7545,0.354,0.4718,-0.24,622.0,0.8824669408560922,No Significant Change,Stable,Stable
4621,Rihand,99,1984,7,11.68,33,39,9.0803,12.7832,0.374,0.8206,40.78,588.0,0.5341470791280722,No Significant Change,Stable,Stable
4622,Rihand,99,1985,10,16.38,34,38,210.8313,213.4225,0.3077,0.3524,1.23,627.0,0.8347022418006316,No Significant Change,Stable,Stable
4722,Ghaghara,99,1962,5,427.12,11,61,1031.5596,958.5529,0.2238,0.2815,-7.08,404.0,0.28717863081055306,No Significant Change,Drying,Moderate Drying
4723,Ghaghara,99,1962,5,427.12,11,61,1036.7032,962.5967,0.2249,0.2816,-7.15,406.0,0.2732384550467303,No Significant Change,Drying,Moderate Drying
4724,Ghaghara,99,1962,5,427.12,11,61,1078.6434,997.2424,0.2331,0.2808,-7.55,412.0,0.23422457474193314,No Significant Change,Drying,Moderate Drying
4726,Karmanasa,99,1962,2,316.03,11,61,34.7457,27.3973,0.3168,0.4264,-21.15,481.0,0.023236112705980222,Significant Reduction,Stable,Stable
4727,Karmanasa,99,1962,2,316.03,11,61,44.8009,35.1975,0.3205,0.422,-21.44,480.0,0.024203837354405903,Significant Reduction,Stable,Stable
4728,Karmanasa,99,1962,4,489.53,11,61,86.9003,74.5981,0.3052,0.4319,-14.16,437.0,0.11391346859972472,No Significant Change,Stable,Stable
4736,Sotwa,99,1985,4,446.49,34,38,58.3525,43.6777,0.428,0.453,-25.15,893.0,0.005428386447770371,Significant Reduction,Drying,Severe Drying
4737,Sotwa,99,1985,4,446.49,34,38,73.0451,55.9815,0.3998,0.4166,-23.36,895.0,0.0050628421657923075,Significant Reduction,Drying,Moderate Drying
4750,Rapti,99,1958,4,21.96,7,65,141.7617,128.4136,0.2759,0.3583,-9.42,265.0,0.4900408028267257,No Significant Change,Stable,Stable
4756,Sotwa,99,1966,1,9.25,15,57,16.1508,14.3099,0.3822,0.344,-11.4,497.0,0.33869706320171733,No Significant Change,Stable,Stable
4759,Sotwa,99,1957,4,446.49,6,66,47.4569,34.604,0.6071,0.4099,-27.08,251.0,0.2927516236864635,No Significant Change,Drying,Severe Drying
4761,Ghaghara,99,1962,5,427.12,11,61,1100.7852,1017.2383,0.2373,0.2789,-7.59,412.0,0.23422457474193314,No Significant Change,Drying,Moderate Drying
4768,Ghaghara,99,1962,5,427.12,11,61,988.1662,916.5202,0.2176,0.2838,-7.25,405.0,0.280149634965301,No Significant Change,Drying,Moderate Drying
4777,Sharda,99,1962,5,427.12,11,61,811.4117,758.3865,0.2124,0.2926,-6.53,400.0,0.31647710382951344,No Significant Change,Drying,Moderate Drying
4778,Sharda,99,1962,5,427.12,11,61,378.6146,338.5123,0.2458,0.3725,-10.59,444.0,0.09094981474138358,No Significant Change,Drying,Mild Drying
4790,Sharda,99,2005,2,7.42,54,18,141.2549,110.9869,0.3827,0.4638,-21.43,690.0,0.008134624687335626,Significant Reduction,Stable,Stable
4791,Sharda,99,2005,2,7.42,54,18,272.8378,206.6961,0.4004,0.387,-24.24,683.0,0.01060663264644185,Significant Reduction,Drying,Mild Drying
4792,Sharda,99,2005,2,7.42,54,18,258.3515,198.8027,0.4215,0.4061,-23.05,675.0,0.014231682295928874,Significant Reduction,Stable,Stable
4793,Mahakali,99,2005,2,7.42,54,18,287.5658,217.5459,0.3955,0.3779,-24.35,683.0,0.01060663264644185,Significant Reduction,Drying,Mild Drying
4796,Sharda,99,1962,1,406.26,11,61,5.9913,4.3011,0.2578,0.4632,-28.21,497.0,0.011736785812171857,Significant Reduction,Drying,Severe Drying
4798,Mahakali,99,1992,4,20.86,41,31,286.8432,276.7162,0.3179,0.49,-3.53,733.0,0.26996910821393516,No Significant Change,Drying,Mild Drying
4803,Darma Yankti,99,2005,1,6.2,54,18,30.8789,23.927,0.4573,0.5953,-22.51,699.0,0.005719008108361995,Significant Reduction,Stable,Stable
4805,Sharda,99,2005,1,6.2,54,18,51.9898,39.7715,0.3821,0.5071,-23.5,720.0,0.0023928849274741574,Significant Reduction,Stable,Stable
4806,Goriganga,99,2012,1,1.22,61,11,66.3271,54.7603,0.5056,0.5602,-17.44,418.0,0.19933153681666516,No Significant Change,Stable,Stable
4807,Mahakali,99,2005,2,7.42,54,18,123.0976,98.7712,0.431,0.5254,-19.76,674.0,0.01475418541112433,Significant Reduction,Stable,Stable
4834,Ganga,1,2001,30,2202.14,50,22,11572.6429,10566.9138,0.1836,0.2662,-8.69,679.0,0.11621643462876785,No Significant Change,Stable,Stable
4835,Ganga,1,2001,30,2202.14,50,22,11621.5553,10613.9873,0.1833,0.2658,-8.67,678.0,0.11908397487294549,No Significant Change,Stable,Stable
4836,Ganga,1,2001,30,2202.14,50,22,11640.6763,10632.4405,0.183,0.2653,-8.66,679.0,0.11621643462876785,No Significant Change,Stable,Stable
4838,Ganga,1,2001,30,2202.14,50,22,12177.4568,11128.3495,0.1766,0.2586,-8.62,679.0,0.11621643462876785,No Significant Change,Stable,Stable
4863,Ganga,1,2001,30,2202.14,50,22,11555.6773,10551.0074,0.1838,0.2664,-8.69,679.0,0.11621643462876785,No Significant Change,Stable,Stable
4864,Ganga,1,2001,30,2202.14,50,22,10046.9861,8887.3382,0.1997,0.2718,-11.54,700.0,0.06761409731979293,No Significant Change,Stable,Stable
5093,Phalgu,99,1976,4,21.78,25,47,60.083,60.9905,0.3293,0.3845,1.51,572.0,0.8591788376843803,No Significant Change,Stable,Stable
5098,Ganga,1,1969,21,1742.7,18,54,10006.652,9043.0385,0.2284,0.2297,-9.63,611.0,0.1054323742350337,No Significant Change,Drying,Moderate Drying
5099,Ganga,1,1969,21,1742.7,18,54,10241.9234,9303.8671,0.2252,0.2268,-9.16,604.0,0.1265033021895172,No Significant Change,Stable,Stable
5103,Garkhe,2,1969,18,358.84,18,54,220.7042,235.9858,0.321,0.3849,6.92,452.0,0.6630883955372254,No Significant Change,Stable,Stable
5109,Chandan,99,2001,3,241.36,50,22,36.6829,32.3921,0.4037,0.3208,-11.7,628.0,0.34343368827165843,No Significant Change,Stable,Stable
5111,Ganga,1,2001,3,241.36,50,22,83.103,70.687,0.3919,0.3375,-14.94,667.0,0.15440016856274758,No Significant Change,Stable,Stable
5112,Ganga,1,2001,3,241.36,50,22,98.868,85.1178,0.4004,0.3272,-13.91,660.0,0.1807047924616434,No Significant Change,Stable,Stable
5134,Kiul,99,1965,4,108.99,14,58,8.585,9.3982,0.2867,0.4558,9.47,393.0,0.8588384240673409,No Significant Change,Stable,Stable
5135,Kiul,99,1965,5,189.2,14,58,18.2334,20.8099,0.294,0.4558,14.13,368.0,0.593646684225616,No Significant Change,Stable,Stable
5136,Ulai,99,1968,2,24.77,17,55,4.143,5.5984,0.3882,0.437,35.13,299.0,0.02590875494192714,Significant Increase,Stable,Stable
5137,Nakti,99,1989,1,26.68,38,34,8.7307,7.7887,0.4618,0.3711,-10.79,716.0,0.43307540627349184,No Significant Change,Stable,Stable
5138,Kiul,99,1965,7,213.97,14,58,22.8766,26.3644,0.2977,0.453,15.25,358.0,0.499141350249255,No Significant Change,Stable,Stable
5139,Kiul,99,1969,10,256.45,18,54,33.1744,40.1852,0.3193,0.4268,21.13,383.0,0.18254210158652762,No Significant Change,Stable,Stable
5140,Harohar,3,1980,8,102.39,29,43,183.2598,185.5316,0.3413,0.4062,1.24,610.0,0.881349593947811,No Significant Change,Stable,Stable
5146,Panchane,99,1978,2,71.34,27,45,7.4563,8.0499,0.4414,0.5096,7.96,571.0,0.6754067889780955,No Significant Change,Stable,Stable
5148,Panchane,99,1978,2,71.34,27,45,12.3282,13.0979,0.4631,0.5074,6.24,576.0,0.7184127513854892,No Significant Change,Stable,Stable
5150,Panchane,99,1978,2,71.34,27,45,17.9869,19.3058,0.4531,0.5193,7.33,571.0,0.6754067889780955,No Significant Change,Stable,Stable
5155,Sakri,99,1966,1,5.7,15,57,30.8352,29.853,0.3259,0.4371,-3.19,466.0,0.5982617416832618,No Significant Change,Stable,Stable
5156,Panchane,99,1978,2,71.34,27,45,36.9726,38.9663,0.4026,0.491,5.39,587.0,0.8160465129446297,No Significant Change,Stable,Stable
5157,Harohar,99,1978,2,71.34,27,45,44.6941,46.4384,0.3974,0.4765,3.9,595.0,0.8889920706145129,No Significant Change,Stable,Stable
5158,Phalgu,99,1976,4,21.78,25,47,85.7887,86.4091,0.3324,0.3958,0.72,576.0,0.8964812311782133,No Significant Change,Stable,Stable
5160,Harohar,99,1978,6,93.12,27,45,132.6285,134.672,0.3414,0.4161,1.54,606.0,0.9907195011217261,No Significant Change,Stable,Stable
5161,Harohar,99,1966,7,98.82,15,57,171.3659,162.373,0.281,0.41,-5.25,475.0,0.5145983316251096,No Significant Change,Stable,Stable
5165,Harohar,3,1980,1,3.57,29,43,4.9342,4.8955,0.444,0.4391,-0.78,642.0,0.8362709212531012,No Significant Change,Stable,Stable
5167,Harohar,3,1980,1,3.57,29,43,8.8338,8.7508,0.4377,0.432,-0.94,645.0,0.8094698461930347,No Significant Change,Stable,Stable
5168,Harohar,3,1980,1,3.57,29,43,17.8342,18.4844,0.404,0.4181,3.65,606.0,0.845248667316117,No Significant Change,Stable,Stable
5172,Lilajan,99,1982,1,6.23,31,41,6.5798,6.2748,0.3876,0.4014,-4.64,674.0,0.6656284214017723,No Significant Change,Stable,Stable
5277,Chilkara,99,2000,1,51.56,49,23,4.612,4.2684,0.4214,0.3846,-7.45,618.0,0.5142913388219204,No Significant Change,Stable,Stable
